Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255773809219,6071405272,2256661029,3814744243,3621665,3175052,2.37,0.88,1.49
System Total 20Mb/s,138031290468,6722113522,2520596783,4201516739,3908443,3438290,4.87,1.83,3.04
System Total 50Mb/s,67543088267,8059032641,3020460193,5038572448,4551326,3974115,11.93,4.47,7.46
System Total 100Mb/s,43913413648,8710907730,3098467931,5612439799,4647277,3953982,19.84,7.06,12.78
System Total 200Mb/s,32225038313,10129932812,3304771382,6825161430,4880922,4024947,31.43,10.26,21.18
System Total 300Mb/s,28290579105,11304116576,3406627949,7897488627,4997764,4082059,39.96,12.04,27.92
System Total 400Mb/s,26271791448,11491870412,2985657710,8506212702,4415617,3388777,43.74,11.36,32.38
System Total 500Mb/s,25086297959,11486716744,2361647223,9125069521,3524478,2556968,45.79,9.41,36.37
System Total 600Mb/s,24283000927,12211931561,2101733103,10110198458,3087354,2251700,50.29,8.66,41.63
System Total 700Mb/s,23814568376,12715430476,1725368119,10990062357,2601579,1838187,53.39,7.25,46.15
System Total 800Mb/s,23391864795,13386661072,1554231920,11832429152,2304602,1658246,57.23,6.64,50.58
System Total 900Mb/s,23064565960,13978199950,1267496869,12710703081,1831350,1372633,60.6,5.5,55.11
System Total 1000Mb/s,23059977321,14382481300,1153317311,13229163989,1642982,1266595,62.37,5.0,57.37

TEST 1: 10Mb/s
CORE 0 TOTAL,255773809219,6071405272,2256661029,3814744243,3621665,3175052,2.37,0.88,1.49
serial_driver,255773809219,28932,2953,25979,2,2,0.0,0.0,0.0
serial_virt_tx,255773809219,11681,4653,7028,2,2,0.0,0.0,0.0
ethernet_driver,255773809219,2012672671,734094099,1278578572,910196,905575,0.79,0.29,0.5
net_virt_tx,255773809219,803678923,341789333,461889590,345395,345395,0.31,0.13,0.18
net_virt_rx,255773809219,1235968309,645751489,590216820,868417,647132,0.48,0.25,0.23
client0,255773809219,826898983,140558866,686340117,222380,222333,0.32,0.05,0.27
client0_net_copier,255773809219,1110769888,373530514,737239374,648996,431794,0.43,0.15,0.29
client1,255773809219,15547657,5593453,9954204,9518,9518,0.01,0.0,0.0
client1_net_copier,255773809219,1130251,369230,761021,376,251,0.0,0.0,0.0
timer_driver,255773809219,64697977,14966439,49731538,27467,24201,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138031290468,6722113522,2520596783,4201516739,3908443,3438290,4.87,1.83,3.04
serial_driver,138031290468,31193,4663,26530,2,2,0.0,0.0,0.0
serial_virt_tx,138031290468,11372,4184,7188,2,2,0.0,0.0,0.0
ethernet_driver,138031290468,2302369561,845679982,1456689579,1053334,1053323,1.67,0.61,1.06
net_virt_tx,138031290468,939341817,405337216,534004601,409542,409542,0.68,0.29,0.39
net_virt_rx,138031290468,1329908972,701325197,628583775,937809,703760,0.96,0.51,0.46
client0,138031290468,895576419,150733780,744842639,239682,239602,0.65,0.11,0.54
client0_net_copier,138031290468,1207551193,405506651,802044542,702220,468092,0.87,0.29,0.58
client1,138031290468,10543815,3359885,7183930,5158,5158,0.01,0.0,0.01
client1_net_copier,138031290468,536987,175859,361128,180,120,0.0,0.0,0.0
timer_driver,138031290468,36242193,8469366,27772827,14918,13132,0.03,0.01,0.02

TEST 3: 50Mb/s
CORE 0 TOTAL,67543088267,8059032641,3020460193,5038572448,4551326,3974115,11.93,4.47,7.46
serial_driver,67543088267,31006,3037,27969,2,2,0.0,0.0,0.0
serial_virt_tx,67543088267,11714,4269,7445,2,2,0.0,0.0,0.0
ethernet_driver,67543088267,2731011397,1001991041,1729020356,1246467,1240659,4.04,1.48,2.56
net_virt_tx,67543088267,1111235028,478678633,632556395,483908,483908,1.65,0.71,0.94
net_virt_rx,67543088267,1630084032,852565358,777518674,1144733,859746,2.41,1.26,1.15
client0,67543088267,1083912812,182560404,901352408,289632,289478,1.6,0.27,1.33
client0_net_copier,67543088267,1472833146,496080111,976753035,857603,572476,2.18,0.73,1.45
client1,67543088267,7761031,2017366,5743665,2613,2613,0.01,0.0,0.01
client1_net_copier,67543088267,440002,143452,296550,141,95,0.0,0.0,0.0
timer_driver,67543088267,21712473,6416522,15295951,7521,6457,0.03,0.01,0.02

TEST 4: 100Mb/s
CORE 0 TOTAL,43913413648,8710907730,3098467931,5612439799,4647277,3953982,19.84,7.06,12.78
serial_driver,43913413648,31879,2973,28906,2,2,0.0,0.0,0.0
serial_virt_tx,43913413648,11613,4284,7329,2,2,0.0,0.0,0.0
ethernet_driver,43913413648,2856035943,998667123,1857368820,1266073,1213252,6.5,2.27,4.23
net_virt_tx,43913413648,1124821745,463468412,661353333,465315,465311,2.56,1.06,1.51
net_virt_rx,43913413648,1786598048,910598694,875999354,1242046,921116,4.07,2.07,1.99
client0,43913413648,1271243724,189922582,1081321142,297682,297523,2.89,0.43,2.46
client0_net_copier,43913413648,1650897245,529174936,1121722309,921422,610134,3.76,1.21,2.55
client1,43913413648,5531132,1457536,4073596,1684,1683,0.01,0.0,0.01
client1_net_copier,43913413648,241448,83742,157706,74,50,0.0,0.0,0.0
timer_driver,43913413648,15494953,5087649,10407304,5013,4220,0.04,0.01,0.02

TEST 5: 200Mb/s
CORE 0 TOTAL,32225038313,10129932812,3304771382,6825161430,4880922,4024947,31.43,10.26,21.18
serial_driver,32225038313,30629,3920,26709,3,3,0.0,0.0,0.0
serial_virt_tx,32225038313,11385,4421,6964,2,2,0.0,0.0,0.0
