Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255780333735,6747972013,2318192914,4429779099,3746119,3301117,2.64,0.91,1.73
System Total 20Mb/s,138027810636,7279743792,2512704107,4767039685,3900414,3427315,5.27,1.82,3.45
System Total 50Mb/s,67537745766,8496679061,2915391855,5581287206,4426306,3822437,12.58,4.32,8.26
System Total 100Mb/s,43914480199,9302782829,3056958986,6245823843,4570316,3861819,21.18,6.96,14.22
System Total 200Mb/s,32223553936,11270446886,3505478876,7764968010,5177673,4330631,34.98,10.88,24.1
System Total 300Mb/s,28291182477,11009686199,2933343214,8076342985,4351183,3468895,38.92,10.37,28.55
System Total 400Mb/s,26290351637,11505412202,2724652084,8780760118,4072072,3078546,43.76,10.36,33.4
System Total 500Mb/s,25086794685,11623759514,2232941195,9390818319,3333228,2419959,46.33,8.9,37.43
System Total 600Mb/s,24284626308,12274832013,1973583899,10301248114,2922023,2127627,50.55,8.13,42.42
System Total 700Mb/s,23808472341,12831551015,1688427246,11143123769,2562154,1809787,53.89,7.09,46.8
System Total 800Mb/s,23391065718,13435961220,1494177652,11941783568,2200838,1605842,57.44,6.39,51.05
System Total 900Mb/s,23065517775,14013049005,1213507169,12799541836,1745210,1318654,60.75,5.26,55.49
System Total 1000Mb/s,23039762096,14452328503,1127197040,13325131463,1605971,1237136,62.73,4.89,57.84

TEST 1: 10Mb/s
CORE 0 TOTAL,255780333735,6747972013,2318192914,4429779099,3746119,3301117,2.64,0.91,1.73
serial_driver,255780333735,32207,2755,29452,2,2,0.0,0.0,0.0
serial_virt_tx,255780333735,12604,3462,9142,2,2,0.0,0.0,0.0
ethernet_driver,255780333735,2289686271,777436308,1512249963,975945,970942,0.9,0.3,0.59
net_virt_tx,255780333735,948065817,375991454,572074363,378264,378264,0.37,0.15,0.22
net_virt_rx,255780333735,1342481174,634676091,707805083,863912,644624,0.52,0.25,0.28
client0,255780333735,907675510,137858530,769816980,221525,221450,0.35,0.05,0.3
client0_net_copier,255780333735,1170308643,370414483,799894160,645346,428304,0.46,0.14,0.31
client1,255780333735,16743117,5704106,11039011,9691,9691,0.01,0.0,0.0
client1_net_copier,255780333735,2304244,744005,1560239,930,621,0.0,0.0,0.0
timer_driver,255780333735,70662426,15361720,55300706,27495,24276,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138027810636,7279743792,2512704107,4767039685,3900414,3427315,5.27,1.82,3.45
serial_driver,138027810636,32133,2852,29281,2,2,0.0,0.0,0.0
serial_virt_tx,138027810636,15083,4590,10493,2,2,0.0,0.0,0.0
ethernet_driver,138027810636,2465657858,841430349,1624227509,1052784,1050358,1.79,0.61,1.18
net_virt_tx,138027810636,1033720511,409273064,624447447,411245,411245,0.75,0.3,0.45
net_virt_rx,138027810636,1458976406,692590951,766385455,940528,706360,1.06,0.5,0.56
client0,138027810636,989158960,150363462,838795498,241095,240956,0.72,0.11,0.61
client0_net_copier,138027810636,1279765696,406438349,873327347,704197,469916,0.93,0.29,0.63
client1,138027810636,11337020,3492650,7844370,5222,5222,0.01,0.0,0.01
client1_net_copier,138027810636,1279068,409827,869241,511,342,0.0,0.0,0.0
timer_driver,138027810636,39801057,8698013,31103044,15067,13190,0.03,0.01,0.02

TEST 3: 50Mb/s
CORE 0 TOTAL,67537745766,8496679061,2915391855,5581287206,4426306,3822437,12.58,4.32,8.26
serial_driver,67537745766,33888,2930,30958,2,2,0.0,0.0,0.0
serial_virt_tx,67537745766,13026,4354,8672,2,2,0.0,0.0,0.0
ethernet_driver,67537745766,2916113797,981287400,1934826397,1246388,1218745,4.32,1.45,2.86
net_virt_tx,67537745766,1187644512,473590394,714054118,475434,475434,1.76,0.7,1.06
net_virt_rx,67537745766,1722373731,810737660,911636071,1110704,820818,2.55,1.2,1.35
client0,67537745766,1139360480,167583112,971777368,267127,266943,1.69,0.25,1.44
client0_net_copier,67537745766,1497857720,472804366,1025053354,829899,546588,2.22,0.7,1.52
client1,67537745766,8482959,2110530,6372429,2619,2619,0.01,0.0,0.01
client1_net_copier,67537745766,603284,188835,414449,220,147,0.0,0.0,0.0
timer_driver,67537745766,24195664,7082274,17113390,7743,6572,0.04,0.01,0.03

TEST 4: 100Mb/s
CORE 0 TOTAL,43914480199,9302782829,3056958986,6245823843,4570316,3861819,21.18,6.96,14.22
serial_driver,43914480199,33939,2809,31130,2,2,0.0,0.0,0.0
serial_virt_tx,43914480199,12165,3417,8748,2,2,0.0,0.0,0.0
ethernet_driver,43914480199,3033009411,980016431,2052992980,1240303,1188864,6.91,2.23,4.67
net_virt_tx,43914480199,1181295905,444032647,737263258,438186,438147,2.69,1.01,1.68
net_virt_rx,43914480199,1964095196,908866440,1055228756,1255280,924747,4.47,2.07,2.4
client0,43914480199,1355870776,181714590,1174156186,289662,289484,3.09,0.41,2.67
client0_net_copier,43914480199,1744586634,535322223,1209264411,936072,616743,3.97,1.22,2.75
client1,43914480199,6238501,1629806,4608695,1710,1710,0.01,0.0,0.01
client1_net_copier,43914480199,158058,47689,110369,46,31,0.0,0.0,0.0
timer_driver,43914480199,17482244,5322934,12159310,5169,4263,0.04,0.01,0.03

TEST 5: 200Mb/s
CORE 0 TOTAL,32223553936,11270446886,3505478876,7764968010,5177673,4330631,34.98,10.88,24.1
serial_driver,32223553936,32136,2982,29154,2,2,0.0,0.0,0.0
serial_virt_tx,32223553936,12559,3665,8894,2,2,0.0,0.0,0.0
ethernet_driver,32223553936,3466582602,1081267563,2385315039,1357980,1275883,10.76,3.36,7.4
net_virt_tx,32223553936,1409926178,502927771,906998407,489257,489253,4.38,1.56,2.81
net_virt_rx,32223553936,2349231010,1060635979,1288595031,1467404,1085976,7.29,3.29,4.0
client0,32223553936,1842290054,228466144,1613823910,365307,365135,5.72,0.71,5.01
client0_net_copier,32223553936,2183775334,626886977,1556888357,1093374,719311,6.78,1.95,4.83
client1,32223553936,4811293,1099921,3711372,1344,1343,0.01,0.0,0.01
client1_net_copier,32223553936,462083,157028,305055,187,125,0.0,0.0,0.0
timer_driver,32223553936,13323637,4030846,9292791,4118,3221,0.04,0.01,0.03

TEST 6: 300Mb/s
CORE 0 TOTAL,28291182477,11009686199,2933343214,8076342985,4351183,3468895,38.92,10.37,28.55
serial_driver,28291182477,32600,2875,29725,2,2,0.0,0.0,0.0
serial_virt_tx,28291182477,12624,3802,8822,2,2,0.0,0.0,0.0
ethernet_driver,28291182477,3538600197,930527852,2608072345,1212464,1094639,12.51,3.29,9.22
net_virt_tx,28291182477,1174998229,359446777,815551452,343560,343027,4.15,1.27,2.88
net_virt_rx,28291182477,2200733737,950467487,1250266250,1328421,932937,7.78,3.36,4.42
client0,28291182477,1903074198,159575286,1743498912,250881,250743,6.73,0.56,6.16
client0_net_copier,28291182477,2176112642,528722934,1647389708,959321,600485,7.69,1.87,5.82
client1,28291182477,4256850,1032420,3224430,1145,1145,0.02,0.0,0.01
client1_net_copier,28291182477,334235,114928,219307,131,91,0.0,0.0,0.0
timer_driver,28291182477,11530887,3448853,8082034,3487,2807,0.04,0.01,0.03

TEST 7: 400Mb/s
CORE 0 TOTAL,26290351637,11505412202,2724652084,8780760118,4072072,3078546,43.76,10.36,33.4
serial_driver,26290351637,34280,2880,31400,2,2,0.0,0.0,0.0
serial_virt_tx,26290351637,12657,3703,8954,2,2,0.0,0.0,0.0
ethernet_driver,26290351637,3669264590,859971533,2809293057,1146729,992813,13.96,3.27,10.69
net_virt_tx,26290351637,1089919991,268399777,821520214,256561,250402,4.15,1.02,3.12
net_virt_rx,26290351637,2238791174,943729323,1295061851,1338034,899139,8.52,3.59,4.93
client0,26290351637,2109905862,133887160,1976018702,208555,208444,8.03,0.51,7.52
client0_net_copier,26290351637,2382123668,514434139,1867689529,959853,577013,9.06,1.96,7.1
client1,26290351637,3705506,755160,2950346,1019,1019,0.01,0.0,0.01
client1_net_copier,26290351637,247582,86523,161059,100,68,0.0,0.0,0.0
timer_driver,26290351637,11406892,3381886,8025006,3460,2638,0.04,0.01,0.03

TEST 8: 500Mb/s
CORE 0 TOTAL,25086794685,11623759514,2232941195,9390818319,3333228,2419959,46.33,8.9,37.43
serial_driver,25086794685,32327,2962,29365,2,2,0.0,0.0,0.0
serial_virt_tx,25086794685,12865,3755,9110,2,2,0.0,0.0,0.0
ethernet_driver,25086794685,3858816687,761412511,3097404176,1068360,866372,15.38,3.04,12.35
net_virt_tx,25086794685,1109175339,236476486,872698853,226635,226222,4.42,0.94,3.48
net_virt_rx,25086794685,1982197384,748984184,1233213200,1069893,698716,7.9,2.99,4.92
client0,25086794685,2272699028,89971280,2182727748,134554,134354,9.06,0.36,8.7
client0_net_copier,25086794685,2386248366,392125721,1994122645,752603,427768,9.51,1.56,7.95
client1,25086794685,3408807,672301,2736506,935,918,0.01,0.0,0.01
client1_net_copier,25086794685,122338,42527,79811,46,34,0.0,0.0,0.0
timer_driver,25086794685,11046373,3249468,7796905,3347,2544,0.04,0.01,0.03

TEST 9: 600Mb/s
CORE 0 TOTAL,24284626308,12274832013,1973583899,10301248114,2922023,2127627,50.55,8.13,42.42
serial_driver,24284626308,32201,3003,29198,2,2,0.0,0.0,0.0
serial_virt_tx,24284626308,14781,3787,10994,2,2,0.0,0.0,0.0
ethernet_driver,24284626308,4101573161,697452203,3404120958,941058,796955,16.89,2.87,14.02
net_virt_tx,24284626308,1142214417,179815891,962398526,176784,165898,4.7,0.74,3.96
net_virt_rx,24284626308,1866115881,666125607,1199990274,948383,609183,7.68,2.74,4.94
client0,24284626308,2570361663,78092540,2492269123,111998,110154,10.58,0.32,10.26
client0_net_copier,24284626308,2580095857,348070760,2232025097,675564,377988,10.62,1.43,9.19
client1,24284626308,3387909,694010,2693899,887,887,0.01,0.0,0.01
client1_net_copier,24284626308,216027,78975,137052,77,56,0.0,0.0,0.0
timer_driver,24284626308,10820116,3247123,7572993,3174,2420,0.04,0.01,0.03

TEST 10: 700Mb/s
CORE 0 TOTAL,23808472341,12831551015,1688427246,11143123769,2562154,1809787,53.89,7.09,46.8
serial_driver,23808472341,32529,2883,29646,2,2,0.0,0.0,0.0
serial_virt_tx,23808472341,12629,4010,8619,2,2,0.0,0.0,0.0
ethernet_driver,23808472341,4197182718,614467527,3582715191,837720,700105,17.63,2.58,15.05
net_virt_tx,23808472341,1155660544,128724883,1026935661,127311,114709,4.85,0.54,4.31
net_virt_rx,23808472341,1785487736,546360095,1239127641,809478,493875,7.5,2.29,5.2
client0,23808472341,2819872244,38445486,2781426758,55436,55346,11.84,0.16,11.68
client0_net_copier,23808472341,2859059898,356380139,2502679759,664409,378689,12.01,1.5,10.51
client1,23808472341,3279038,792833,2486205,858,858,0.01,0.0,0.01
client1_net_copier,23808472341,87150,30548,56602,29,22,0.0,0.0,0.0
timer_driver,23808472341,10876529,3218842,7657687,3054,2337,0.05,0.01,0.03

TEST 11: 800Mb/s
CORE 0 TOTAL,23391065718,13435961220,1494177652,11941783568,2200838,1605842,57.44,6.39,51.05
serial_driver,23391065718,34077,4241,29836,3,3,0.0,0.0,0.0
serial_virt_tx,23391065718,13456,4540,8916,2,2,0.0,0.0,0.0
ethernet_driver,23391065718,4344123962,519487963,3824635999,728185,580752,18.57,2.22,16.35
net_virt_tx,23391065718,1280930297,148361730,1132568567,136115,135917,5.48,0.63,4.84
net_virt_rx,23391065718,1723290011,493533040,1229756971,704544,462425,7.37,2.11,5.26
client0,23391065718,3147346090,39924124,3107421966,56861,56819,13.46,0.17,13.28
client0_net_copier,23391065718,2926249913,288801055,2637448858,506263,301697,12.51,1.23,11.28
client1,23391065718,3191224,790900,2400324,832,832,0.01,0.0,0.01
client1_net_copier,23391065718,48191,17779,30412,17,13,0.0,0.0,0.0
timer_driver,23391065718,10733999,3252280,7481719,2833,2212,0.05,0.01,0.03

TEST 12: 900Mb/s
CORE 0 TOTAL,23065517775,14013049005,1213507169,12799541836,1745210,1318654,60.75,5.26,55.49
serial_driver,23065517775,32531,3097,29434,2,2,0.0,0.0,0.0
serial_virt_tx,23065517775,12289,3897,8392,2,2,0.0,0.0,0.0
ethernet_driver,23065517775,4455910699,414609610,4041301089,615308,447770,19.32,1.8,17.52
net_virt_tx,23065517775,1456177254,169921118,1286256136,160346,154669,6.31,0.74,5.58
net_virt_rx,23065517775,1621387850,389099916,1232287934,530577,388068,7.03,1.69,5.34
client0,23065517775,3486753001,40737726,3446015275,58156,58015,15.12,0.18,14.94
client0_net_copier,23065517775,2979302080,195430902,2783871178,311534,201655,12.92,0.85,12.07
client1,23065517775,3053891,636071,2417820,822,822,0.01,0.0,0.01
client1_net_copier,23065517775,78661,27906,50755,23,17,0.0,0.0,0.0
timer_driver,23065517775,10340749,3036926,7303823,3078,2284,0.04,0.01,0.03

TEST 13: 1000Mb/s
CORE 0 TOTAL,23039762096,14452328503,1127197040,13325131463,1605971,1237136,62.73,4.89,57.84
serial_driver,23039762096,34686,2968,31718,2,2,0.0,0.0,0.0
serial_virt_tx,23039762096,12391,4129,8262,2,2,0.0,0.0,0.0
ethernet_driver,23039762096,4539961995,368955673,4171006322,558888,394833,19.7,1.6,18.1
net_virt_tx,23039762096,1532748016,180554611,1352193405,170098,164551,6.65,0.78,5.87
net_virt_rx,23039762096,1606329596,361515481,1244814115,482840,370655,6.97,1.57,5.4
client0,23039762096,3693212577,44813856,3648398721,64676,64519,16.03,0.19,15.84
client0_net_copier,23039762096,3064515328,166912254,2897603074,254494,168702,13.3,0.72,12.58
client1,23039762096,3440156,908083,2532073,837,837,0.01,0.0,0.01
client1_net_copier,23039762096,158125,51740,106385,45,30,0.0,0.0,0.0
timer_driver,23039762096,11915633,3478245,8437388,3287,2430,0.05,0.02,0.04

L1 i-cache misses,L1 d-cache misses,L1 i-tlb misses,L1 d-tlb misses,Instructions,Branch mispredictions
47274431,43505058,2795698,5916091,182859750413,11747254,
51609742,46973241,3077921,6443079,94221821989,11966339,
58462852,54186667,3431016,7369312,38959901869,14354455,
60881421,59605364,3533190,7874682,21824554380,16754080,
70950769,73795305,4056069,9429577,16942365766,19872206,
54319616,67557842,3155329,8396675,14760501871,19624947,
47168124,66563322,2787967,8191051,9173776519,20051279,
35686132,61782982,2119259,7499321,8650512943,19074221,
30329684,61663780,1912919,7614960,12324215989,18823394,
23875561,60724097,1614225,7540282,11997509566,18276264,
21911628,61831150,1420012,7947372,11713595783,18917271,
18876323,62308104,1158692,8113842,11502201707,18770525,
18250936,63766752,1101238,8310154,11430397065,18768458,
