Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,53228411901058,432964543651,141486738089,291477805562,58884884,58094209,0.81,0.27,0.55
System Total 20Mb/s,24559260553494,482563721504,148671378349,333892343155,60104744,59283014,1.96,0.61,1.36
System Total 50Mb/s,8866012554840,568769000162,176135407244,392633592918,72815479,71530899,6.42,1.99,4.43
System Total 100Mb/s,5663041787225,672434559080,200279902934,472154656146,87312721,85150103,11.87,3.54,8.34
System Total 200Mb/s,3875973563161,887382472763,321661642373,565720830390,123889248,119707478,22.89,8.3,14.6
System Total 300Mb/s,3544565900289,990842901823,393402319360,597440582463,137377593,126951957,27.95,11.1,16.86
System Total 400Mb/s,3389856778513,997068937371,333759917188,663309020183,119759681,109515045,29.41,9.85,19.57
System Total 500Mb/s,3301035737969,988586870616,309518987397,679067883219,105924215,102057109,29.95,9.38,20.57
System Total 600Mb/s,2822961059192,1066033905885,264243002231,801790903654,92558945,89145413,37.76,9.36,28.4
System Total 700Mb/s,2772420432760,1155451041668,222151385605,933299656063,87447945,84087424,41.68,8.01,33.66
System Total 800Mb/s,2750677149271,1227007599671,205598796576,1021408803095,75855442,72509768,44.61,7.47,37.13
System Total 900Mb/s,2719388947272,1305976889395,196718941413,1109257947982,72753816,69407570,48.02,7.23,40.79
System Total 1000Mb/s,2761664303671,1244132878469,199948209249,1044184669220,73548694,69757062,45.05,7.24,37.81

TEST 1: 10Mb/s
CORE 0 TOTAL,53228411901058,432964543651,141486738089,291477805562,58884884,58094209,0.81,0.27,0.55
serial_driver,53228411901058,103539,6294,97245,1,1,0.0,0.0,0.0
serial_virt_tx,53228411901058,71811,16435,55376,2,2,0.0,0.0,0.0
ethernet_driver,53228411901058,159456057632,75554697990,83901359642,19932517,19932496,0.3,0.14,0.16
net_virt_tx,53228411901058,40567898182,17836475671,22731422511,4407424,4407424,0.08,0.03,0.04
net_virt_rx,53228411901058,75315352953,26446157639,48869195314,7369539,6627880,0.14,0.05,0.09
client0,53228411901058,82149712240,6569931654,75579780586,2255136,2254935,0.15,0.01,0.14
client0_net_copier,53228411901058,73637507430,14387869237,59249638193,4407425,4407329,0.14,0.03,0.11
client1,53228411901058,421697296,103887381,317809915,37431,37429,0.0,0.0,0.0
client1_net_copier,53228411901058,226676,69763,156913,18,18,0.0,0.0,0.0
timer_driver,53228411901058,1415915892,587626025,828289867,200728,152135,0.0,0.0,0.0

TEST 2: 20Mb/s
CORE 0 TOTAL,24559260553494,482563721504,148671378349,333892343155,60104744,59283014,1.96,0.61,1.36
serial_driver,24559260553494,104050,6515,97535,1,1,0.0,0.0,0.0
serial_virt_tx,24559260553494,74889,17015,57874,2,2,0.0,0.0,0.0
