Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,306942405626,7204182387,2975631118,4228551269,4160796,3705042,2.35,0.97,1.38
System Total 20Mb/s,165625064197,7727153471,3192216430,4534937041,4312928,3826059,4.67,1.93,2.74
System Total 50Mb/s,81047136332,9183388341,3777290037,5406098304,5027866,4400640,11.33,4.66,6.67
System Total 100Mb/s,52695272712,10987238990,4400071865,6587167125,5901410,5057623,20.85,8.35,12.5
System Total 200Mb/s,38667481086,14285865229,6095116793,8190748436,8275577,7523808,36.95,15.76,21.18
System Total 300Mb/s,33932046643,15482152337,6540052951,8942099386,8816770,8360929,45.63,19.27,26.35
System Total 400Mb/s,31543973381,15592094940,5745637192,9846457748,7727298,7298504,49.43,18.21,31.22
System Total 500Mb/s,30103584661,16096241928,5220814524,10875427404,7002217,6591693,53.47,17.34,36.13
System Total 600Mb/s,29137867818,16727509938,4754036360,11973473578,6354919,5955967,57.41,16.32,41.09
System Total 700Mb/s,28575427387,17441390043,4350606658,13090783385,5814814,5420916,61.04,15.22,45.81
System Total 800Mb/s,28070849157,18872427742,4045452055,14826975687,5395783,5008736,67.23,14.41,52.82
System Total 900Mb/s,27927478896,19548434403,3837366519,15711067884,5097021,4708181,70.0,13.74,56.26
System Total 1000Mb/s,28188265408,19164721671,3833513483,15331208188,5101205,4708275,67.99,13.6,54.39

TEST 1: 10Mb/s
CORE 0 TOTAL,306942405626,7204182387,2975631118,4228551269,4160796,3705042,2.35,0.97,1.38
uart_driver,306942405626,21107,2348,18759,1,1,0.0,0.0,0.0
serial_virt_tx,306942405626,11821,4646,7175,2,2,0.0,0.0,0.0
ethernet_driver,306942405626,2401951104,1187797187,1214153917,1294905,1279463,0.78,0.39,0.4
net_virt_tx,306942405626,975765532,468554274,507211258,425342,425342,0.32,0.15,0.17
net_virt_rx,306942405626,1283290197,695516204,587773993,877738,660650,0.42,0.23,0.19
client0,306942405626,1315632031,172763135,1142868896,218833,218758,0.43,0.06,0.37
client0_net_copier,306942405626,1150088949,420356252,729732697,646186,429015,0.37,0.14,0.24
client1,306942405626,20165826,6373289,13792537,9235,9233,0.01,0.0,0.0
client1_net_copier,306942405626,39191,16865,22326,21,14,0.0,0.0,0.0
timer_driver,306942405626,57216629,24246918,32969711,31276,25314,0.02,0.01,0.01

TEST 2: 20Mb/s
CORE 0 TOTAL,165625064197,7727153471,3192216430,4534937041,4312928,3826059,4.67,1.93,2.74
uart_driver,165625064197,19979,1917,18062,1,1,0.0,0.0,0.0
serial_virt_tx,165625064197,11591,4117,7474,2,2,0.0,0.0,0.0
ethernet_driver,165625064197,2589721986,1281707898,1308014088,1396099,1380511,1.56,0.77,0.79
net_virt_tx,165625064197,1052220034,505293943,546926091,459735,459735,0.64,0.31,0.33
net_virt_rx,165625064197,1380123516,747548572,632574944,946297,712271,0.83,0.45,0.38
client0,165625064197,1413457524,183318023,1230139501,231368,231343,0.85,0.11,0.74
client0_net_copier,165625064197,1239962998,453319330,786643668,697146,463062,0.75,0.27,0.47
client1,165625064197,13296248,4093532,9202716,4994,4994,0.01,0.0,0.01
client1_net_copier,165625064197,19159,7949,11210,6,4,0.0,0.0,0.0
timer_driver,165625064197,38320436,16921149,21399287,16613,13476,0.02,0.01,0.01

TEST 3: 50Mb/s
CORE 0 TOTAL,81047136332,9183388341,3777290037,5406098304,5027866,4400640,11.33,4.66,6.67
uart_driver,81047136332,20899,2539,18360,1,1,0.0,0.0,0.0
serial_virt_tx,81047136332,10593,3849,6744,2,2,0.0,0.0,0.0
ethernet_driver,81047136332,3091753011,1516613827,1575139184,1682056,1626912,3.81,1.87,1.94
net_virt_tx,81047136332,1232027276,591644370,640382906,540643,540643,1.52,0.73,0.79
net_virt_rx,81047136332,1682219308,916561685,765657623,1168956,883865,2.08,1.13,0.94
client0,81047136332,1663961709,205247672,1458714037,259534,259455,2.05,0.25,1.8
client0_net_copier,81047136332,1484531488,535040103,949491385,832826,547554,1.83,0.66,1.17
client1,81047136332,7114321,2243693,4870628,2458,2456,0.01,0.0,0.01
client1_net_copier,81047136332,15347,6401,8946,6,4,0.0,0.0,0.0
timer_driver,81047136332,21734389,9925898,11808491,8297,6671,0.03,0.01,0.01

TEST 4: 100Mb/s
CORE 0 TOTAL,52695272712,10987238990,4400071865,6587167125,5901410,5057623,20.85,8.35,12.5
uart_driver,52695272712,20330,2098,18232,1,1,0.0,0.0,0.0
serial_virt_tx,52695272712,10983,3897,7086,2,2,0.0,0.0,0.0
ethernet_driver,52695272712,3669495625,1766746105,1902749520,1990119,1886148,6.96,3.35,3.61
net_virt_tx,52695272712,1508940381,719482265,789458116,655790,655727,2.86,1.37,1.5
net_virt_rx,52695272712,1958024483,1051534323,906490160,1354626,1028937,3.72,2.0,1.72
client0,52695272712,2079802768,241123617,1838679151,298846,298702,3.95,0.46,3.49
client0_net_copier,52695272712,1751478929,613076541,1138402388,948408,622785,3.32,1.16,2.16
client1,52695272712,4788605,1363061,3425544,1598,1596,0.01,0.0,0.01
client1_net_copier,52695272712,0,0,0,0,0,0.0,0.0,0.0
timer_driver,52695272712,14676886,6739958,7936928,5578,4444,0.03,0.01,0.02

TEST 5: 200Mb/s
CORE 0 TOTAL,38667481086,14285865229,6095116793,8190748436,8275577,7523808,36.95,15.76,21.18
uart_driver,38667481086,19641,1897,17744,1,1,0.0,0.0,0.0
serial_virt_tx,38667481086,11275,3925,7350,2,2,0.0,0.0,0.0
ethernet_driver,38667481086,5632120179,2668454143,2963666036,3533741,3342590,14.57,6.9,7.66
net_virt_tx,38667481086,2867372672,1891730959,975641713,2166292,2165944,7.42,4.89,2.52
net_virt_rx,38667481086,1768196653,956216017,811980636,1198889,972993,4.57,2.47,2.1
client0,38667481086,2446018813,157744150,2288274663,194622,194125,6.33,0.41,5.92
client0_net_copier,38667481086,1556527956,414686738,1141841218,620423,401214,4.03,1.07,2.95
client1,38667481086,3578330,978365,2599965,1179,1163,0.01,0.0,0.01
client1_net_copier,38667481086,10261,4087,6174,3,2,0.0,0.0,0.0
timer_driver,38667481086,12009449,5296512,6712937,4685,3530,0.03,0.01,0.02

TEST 6: 300Mb/s
CORE 0 TOTAL,33932046643,15482152337,6540052951,8942099386,8816770,8360929,45.63,19.27,26.35
uart_driver,33932046643,21439,3290,18149,2,2,0.0,0.0,0.0
serial_virt_tx,33932046643,11241,3984,7257,2,2,0.0,0.0,0.0
ethernet_driver,33932046643,6395249038,2903988386,3491260652,4170553,3974443,18.85,8.56,10.29
net_virt_tx,33932046643,4270922139,3190917613,1080004526,3829948,3829948,12.59,9.4,3.18
net_virt_rx,33932046643,744061679,211326638,532735041,263360,197968,2.19,0.62,1.57
client0,33932046643,2782562447,54618838,2727943609,66571,66293,8.2,0.16,8.04
client0_net_copier,33932046643,1274289836,173676603,1100613233,196243,130559,3.76,0.51,3.24
client1,33932046643,3095796,846307,2249489,960,958,0.01,0.0,0.01
client1_net_copier,33932046643,0,0,0,0,0,0.0,0.0,0.0
timer_driver,33932046643,11938722,4671292,7267430,4944,3545,0.04,0.01,0.02

TEST 7: 400Mb/s
