Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,306937986671,7362471921,3012696470,4349775451,4156973,3699571,2.4,0.98,1.42
System Total 20Mb/s,165625260242,7941420139,3257343443,4684076696,4342246,3864051,4.79,1.97,2.83
System Total 50Mb/s,81040797858,9638004475,3968749993,5669254482,5183540,4611760,11.89,4.9,7.0
System Total 100Mb/s,52696263717,10830395633,4246655796,6583739837,5659840,4860115,20.55,8.06,12.49
System Total 200Mb/s,38667638403,14378731746,6005669741,8373062005,8018732,7245804,37.19,15.53,21.65
System Total 300Mb/s,33946810263,15388619280,6333062660,9055556620,8522572,8064851,45.33,18.66,26.68
System Total 400Mb/s,31539004453,15504280604,5540636739,9963643865,7438389,7007689,49.16,17.57,31.59
System Total 500Mb/s,30101135289,15982347741,5010410022,10971937719,6708138,6295157,53.1,16.65,36.45
System Total 600Mb/s,29141333798,16628354445,4516025531,12112328914,6025400,5623281,57.06,15.5,41.56
System Total 700Mb/s,28582057794,17402279606,4148539717,13253739889,5536742,5140672,60.89,14.51,46.37
System Total 800Mb/s,28070337202,18440216282,3763798327,14676417955,5007738,4616833,65.69,13.41,52.28
System Total 900Mb/s,27931095443,19469112792,3560422950,15908689842,4713050,4321377,69.7,12.75,56.96
System Total 1000Mb/s,28143189052,19225294262,3592677495,15632616767,4731053,4334020,68.31,12.77,55.55

TEST 1: 10Mb/s
CORE 0 TOTAL,306937986671,7362471921,3012696470,4349775451,4156973,3699571,2.4,0.98,1.42
uart_driver,306937986671,20743,2101,18642,1,1,0.0,0.0,0.0
serial_virt_tx,306937986671,11009,3624,7385,2,2,0.0,0.0,0.0
ethernet_driver,306937986671,2517570811,1207239949,1310330862,1293916,1276774,0.82,0.39,0.43
net_virt_tx,306937986671,982033607,480058856,501974751,424862,424862,0.32,0.16,0.16
net_virt_rx,306937986671,1280981199,699765284,581215915,878180,661112,0.42,0.23,0.19
client0,306937986671,1356448344,176585522,1179862822,217950,217878,0.44,0.06,0.38
client0_net_copier,306937986671,1147460958,418188761,729272197,643040,425860,0.37,0.14,0.24
client1,306937986671,20266894,6314308,13952586,9226,9224,0.01,0.0,0.0
client1_net_copier,306937986671,44632,18011,26621,20,13,0.0,0.0,0.0
timer_driver,306937986671,57633724,24520054,33113670,31241,25317,0.02,0.01,0.01

TEST 2: 20Mb/s
CORE 0 TOTAL,165625260242,7941420139,3257343443,4684076696,4342246,3864051,4.79,1.97,2.83
uart_driver,165625260242,20590,2387,18203,1,1,0.0,0.0,0.0
serial_virt_tx,165625260242,10312,3722,6590,2,2,0.0,0.0,0.0
ethernet_driver,165625260242,2729159029,1313401381,1415757648,1399912,1393096,1.65,0.79,0.85
net_virt_tx,165625260242,1074243411,526553723,547689688,464693,464693,0.65,0.32,0.33
net_virt_rx,165625260242,1373646408,747508212,626138196,941019,706976,0.83,0.45,0.38
client0,165625260242,1467120948,191989052,1275131896,235844,235772,0.89,0.12,0.77
client0_net_copier,165625260242,1245608363,457076983,788531380,699957,465862,0.75,0.28,0.48
client1,165625260242,13313835,4005465,9308370,5021,5021,0.01,0.0,0.01
client1_net_copier,165625260242,19764,7566,12198,6,4,0.0,0.0,0.0
timer_driver,165625260242,38277479,16794952,21482527,16694,13534,0.02,0.01,0.01

TEST 3: 50Mb/s
CORE 0 TOTAL,81040797858,9638004475,3968749993,5669254482,5183540,4611760,11.89,4.9,7.0
uart_driver,81040797858,19641,1901,17740,1,1,0.0,0.0,0.0
serial_virt_tx,81040797858,12023,4398,7625,2,2,0.0,0.0,0.0
ethernet_driver,81040797858,3333916914,1610848860,1723068054,1706462,1706384,4.11,1.99,2.13
net_virt_tx,81040797858,1317626523,645997668,671628855,570653,570653,1.63,0.8,0.83
net_virt_rx,81040797858,1661318312,903819698,757498614,1143193,858259,2.05,1.12,0.93
client0,81040797858,1772992799,234128359,1538864440,287609,287500,2.19,0.29,1.9
client0_net_copier,81040797858,1523337239,561972440,961364799,858807,573762,1.88,0.69,1.19
client1,81040797858,7136101,2122581,5013520,2457,2457,0.01,0.0,0.01
client1_net_copier,81040797858,0,0,0,0,0,0.0,0.0,0.0
timer_driver,81040797858,21644923,9854088,11790835,8276,6669,0.03,0.01,0.01

TEST 4: 100Mb/s
CORE 0 TOTAL,52696263717,10830395633,4246655796,6583739837,5659840,4860115,20.55,8.06,12.49
uart_driver,52696263717,20210,1961,18249,1,1,0.0,0.0,0.0
serial_virt_tx,52696263717,11563,4136,7427,2,2,0.0,0.0,0.0
ethernet_driver,52696263717,3788752170,1752208971,2036543199,1943161,1837585,7.19,3.33,3.86
