Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,306937938751,7876511569,2747602824,5128908745,3748894,3308235,2.57,0.9,1.67
System Total 20Mb/s,165614165188,8101990709,2778364570,5323626139,3732177,3244507,4.89,1.68,3.21
System Total 50Mb/s,81038130543,10154066197,3510490838,6643575359,4608944,4036533,12.53,4.33,8.2
System Total 100Mb/s,52691024397,11033171336,3552061783,7481109553,4823816,4166984,20.94,6.74,14.2
System Total 200Mb/s,38668730483,14110698770,4855910204,9254788566,6369177,5575803,36.49,12.56,23.93
System Total 300Mb/s,33945339612,14797345012,4933143558,9864201454,6344478,5872482,43.59,14.53,29.06
System Total 400Mb/s,31528141953,15045283811,4275623241,10769660570,5471818,5034077,47.72,13.56,34.16
System Total 500Mb/s,30099021307,15457718724,3726980567,11730738157,4748336,4327118,51.36,12.38,38.97
System Total 600Mb/s,29137416038,16198904213,3336552009,12862352204,4227413,3816466,55.59,11.45,44.14
System Total 700Mb/s,28579052512,16869724859,2980357124,13889367735,3772902,3368726,59.03,10.43,48.6
System Total 800Mb/s,28070289689,18222011953,2627002622,15595009331,3309728,2910625,64.92,9.36,55.56
System Total 900Mb/s,27928672574,19093585034,2501196153,16592388881,3136636,2738015,68.37,8.96,59.41
System Total 1000Mb/s,28182330436,18772780148,2545369288,16227410860,3188918,2785419,66.61,9.03,57.58

TEST 1: 10Mb/s
CORE 0 TOTAL,306937938751,7876511569,2747602824,5128908745,3748894,3308235,2.57,0.9,1.67
uart_driver,306937938751,20458,2557,17901,1,1,0.0,0.0,0.0
serial_virt_tx,306937938751,11451,4730,6721,2,2,0.0,0.0,0.0
ethernet_driver,306937938751,3132715237,1034265973,2098449264,1075211,1074686,1.02,0.34,0.68
net_virt_tx,306937938751,685057379,291189324,393868055,217009,217009,0.22,0.09,0.13
net_virt_rx,306937938751,1330802864,737458260,593344604,891794,674778,0.43,0.24,0.19
client0,306937938751,1448914784,194943473,1253971311,226840,226751,0.47,0.06,0.41
client0_net_copier,306937938751,1198616724,457584228,741032496,671443,454335,0.39,0.15,0.24
client1,306937938751,21104773,6669059,14435714,9214,9212,0.01,0.0,0.0
client1_net_copier,306937938751,35954,15389,20565,18,12,0.0,0.0,0.0
timer_driver,306937938751,59231945,25469831,33762114,31214,25310,0.02,0.01,0.01

TEST 2: 20Mb/s
CORE 0 TOTAL,165614165188,8101990709,2778364570,5323626139,3732177,3244507,4.89,1.68,3.21
uart_driver,165614165188,19833,2350,17483,1,1,0.0,0.0,0.0
serial_virt_tx,165614165188,10159,3615,6544,2,2,0.0,0.0,0.0
ethernet_driver,165614165188,3271197022,1071603486,2199593536,1134796,1110658,1.98,0.65,1.33
net_virt_tx,165614165188,681792717,285724598,396068119,212306,212306,0.41,0.17,0.24
net_virt_rx,165614165188,1378479552,759040952,619438600,928588,697446,0.83,0.46,0.37
client0,165614165188,1494417309,188933314,1305483995,218887,218797,0.9,0.11,0.79
