Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,306942861167,7962509086,2705989773,5256519313,3755176,3309989,2.59,0.88,1.71
System Total 20Mb/s,165839396066,8429256817,2860437509,5568819308,3818899,3324374,5.08,1.72,3.36
System Total 50Mb/s,81048652144,10353758583,3512292139,6841466444,4624054,4052407,12.77,4.33,8.44
System Total 100Mb/s,52686007801,11096947506,3489289565,7607657941,4704597,3951384,21.06,6.62,14.44
System Total 200Mb/s,38668437088,14194480869,4744035633,9450445236,6119357,5350484,36.71,12.27,24.44
System Total 300Mb/s,33949532257,14740223517,4712142047,10028081470,6047904,5575771,43.42,13.88,29.54
System Total 400Mb/s,31544721005,14801303474,3904893869,10896409605,4984539,4539294,46.92,12.38,34.54
System Total 500Mb/s,30101768129,15314900913,3403198246,11911702667,4316760,3893715,50.88,11.31,39.57
System Total 600Mb/s,29142536822,15958771111,2923117714,13035653397,3679025,3262552,54.76,10.03,44.73
System Total 700Mb/s,28586760754,16663469614,2544382610,14119087004,3204999,2796769,58.29,8.9,49.39
System Total 800Mb/s,28070646460,17907396029,2173395052,15734000977,2727355,2324357,63.79,7.74,56.05
System Total 900Mb/s,27933889956,18832360714,1994152248,16838208466,2482118,2078843,67.42,7.14,60.28
System Total 1000Mb/s,28363389332,18560290878,2082591307,16477699571,2572391,2160144,65.44,7.34,58.09

TEST 1: 10Mb/s
CORE 0 TOTAL,306942861167,7962509086,2705989773,5256519313,3755176,3309989,2.59,0.88,1.71
uart_driver,306942861167,20863,2208,18655,1,1,0.0,0.0,0.0
serial_virt_tx,306942861167,11639,4017,7622,2,2,0.0,0.0,0.0
ethernet_driver,306942861167,3270038526,1047105792,2222932734,1082927,1078033,1.07,0.34,0.72
net_virt_tx,306942861167,692252327,293202250,399050077,214979,214979,0.23,0.1,0.13
net_virt_rx,306942861167,1299627380,708607846,591019534,871513,654392,0.42,0.23,0.19
client0,306942861167,1451987102,189502386,1262484716,225440,225357,0.47,0.06,0.41
client0_net_copier,306942861167,1168134089,435377793,732756296,650913,433765,0.38,0.14,0.24
client1,306942861167,21269257,6817729,14451528,9253,9251,0.01,0.0,0.0
client1_net_copier,306942861167,54329,21769,32560,22,15,0.0,0.0,0.0
timer_driver,306942861167,59113574,25347983,33765591,31195,25270,0.02,0.01,0.01

TEST 2: 20Mb/s
CORE 0 TOTAL,165839396066,8429256817,2860437509,5568819308,3818899,3324374,5.08,1.72,3.36
uart_driver,165839396066,19951,1887,18064,1,1,0.0,0.0,0.0
serial_virt_tx,165839396066,10906,3540,7366,2,2,0.0,0.0,0.0
ethernet_driver,165839396066,3467249074,1102680136,2364568938,1153296,1131078,2.09,0.66,1.43
net_virt_tx,165839396066,713906560,301293587,412612973,220759,220759,0.43,0.18,0.25
net_virt_rx,165839396066,1411800155,776520490,635279665,950919,716060,0.85,0.47,0.38
client0,165839396066,1533780151,192912990,1340867161,228158,228067,0.92,0.12,0.81
client0_net_copier,165839396066,1248369677,464570180,783799497,695708,461515,0.75,0.28,0.47
client1,165839396066,14079610,4368132,9711478,5014,5014,0.01,0.0,0.01
client1_net_copier,165839396066,30697,13228,17469,9,6,0.0,0.0,0.0
timer_driver,165839396066,40010036,18073339,21936697,16756,13602,0.02,0.01,0.01

TEST 3: 50Mb/s
CORE 0 TOTAL,81048652144,10353758583,3512292139,6841466444,4624054,4052407,12.77,4.33,8.44
uart_driver,81048652144,19731,1846,17885,1,1,0.0,0.0,0.0
serial_virt_tx,81048652144,10618,3428,7190,2,2,0.0,0.0,0.0
ethernet_driver,81048652144,4295451574,1378604117,2916847457,1424732,1424707,5.3,1.7,3.6
net_virt_tx,81048652144,907424963,387280850,520144113,284986,284986,1.12,0.48,0.64
net_virt_rx,81048652144,1692552121,921739726,770812395,1141247,856319,2.09,1.14,0.95
client0,81048652144,1900293171,243462358,1656830813,287660,287570,2.34,0.3,2.04
client0_net_copier,81048652144,1527565047,568048148,959516899,854891,569875,1.88,0.7,1.18
client1,81048652144,7718801,2505610,5213191,2468,2466,0.01,0.0,0.01
client1_net_copier,81048652144,16690,6783,9907,6,4,0.0,0.0,0.0
timer_driver,81048652144,22705867,10639273,12066594,8319,6746,0.03,0.01,0.01

TEST 4: 100Mb/s
CORE 0 TOTAL,52686007801,11096947506,3489289565,7607657941,4704597,3951384,21.06,6.62,14.44
uart_driver,52686007801,21136,2889,18247,1,1,0.0,0.0,0.0
serial_virt_tx,52686007801,10826,4160,6666,2,2,0.0,0.0,0.0
ethernet_driver,52686007801,4628926685,1390939041,3237987644,1486699,1410017,8.79,2.64,6.15
net_virt_tx,52686007801,908176510,355615608,552560902,258051,258033,1.72,0.67,1.05
net_virt_rx,52686007801,1741832651,932381720,809450931,1134351,854051,3.31,1.77,1.54
client0,52686007801,2192114880,247688949,1944425931,276481,276357,4.16,0.47,3.69
client0_net_copier,52686007801,1605538019,553866420,1051671599,826182,547375,3.05,1.05,2.0
client1,52686007801,5187626,1640215,3547411,1620,1609,0.01,0.0,0.01
client1_net_copier,52686007801,0,0,0,0,0,0.0,0.0,0.0
timer_driver,52686007801,15139173,7150563,7988610,5526,4413,0.03,0.01,0.02

TEST 5: 200Mb/s
CORE 0 TOTAL,38668437088,14194480869,4744035633,9450445236,6119357,5350484,36.71,12.27,24.44
uart_driver,38668437088,20455,2598,17857,1,1,0.0,0.0,0.0
serial_virt_tx,38668437088,10680,4060,6620,2,2,0.0,0.0,0.0
ethernet_driver,38668437088,6356445315,1959905865,4396539450,2489418,2268438,16.44,5.07,11.37
net_virt_tx,38668437088,805478134,243898280,561579854,171610,171176,2.08,0.63,1.45
net_virt_rx,38668437088,2828866568,1887408656,941457912,2159298,1954047,7.32,4.88,2.43
client0,38668437088,2616101733,204544420,2411557313,214697,214106,6.77,0.53,6.24
client0_net_copier,38668437088,1572180686,441672772,1130507914,603925,402864,4.07,1.14,2.92
client1,38668437088,3829456,1194823,2634633,1238,1219,0.01,0.0,0.01
client1_net_copier,38668437088,0,0,0,0,0,0.0,0.0,0.0
timer_driver,38668437088,11547842,5404159,6143683,4303,3336,0.03,0.01,0.02

TEST 6: 300Mb/s
CORE 0 TOTAL,33949532257,14740223517,4712142047,10028081470,6047904,5575771,43.42,13.88,29.54
uart_driver,33949532257,19661,1966,17695,1,1,0.0,0.0,0.0
serial_virt_tx,33949532257,10398,3255,7143,2,2,0.0,0.0,0.0
ethernet_driver,33949532257,6695699604,2015539418,4680160186,2776937,2574362,19.72,5.94,13.79
net_virt_tx,33949532257,654492825,114647541,539845284,67578,67578,1.93,0.34,1.59
net_virt_rx,33949532257,3245141589,2341169921,903971668,2641701,2574170,9.56,6.9,2.66
client0,33949532257,2837469228,56039031,2781430197,68927,68821,8.36,0.17,8.19
