Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255768283784,6769008305,2293436855,4475571450,3667707,3222934,2.65,0.9,1.75
System Total 20Mb/s,138029944931,7330697860,2498117013,4832580847,3828228,3349593,5.31,1.81,3.5
System Total 50Mb/s,67542442764,8620323830,2915968213,5704355617,4414280,3805274,12.76,4.32,8.45
System Total 100Mb/s,43891245445,9643833242,3134236725,6509596517,4676036,3991375,21.97,7.14,14.83
System Total 200Mb/s,32224344025,11211628403,3395373900,7816254503,5004223,4190261,34.79,10.54,24.26
System Total 300Mb/s,28287414288,11240752087,2975265838,8265486249,4401721,3513146,39.74,10.52,29.22
System Total 400Mb/s,26282838255,11987535296,2901777244,9085758052,4228046,3269571,45.61,11.04,34.57
System Total 500Mb/s,25083943503,11779150112,2257824623,9521325489,3337624,2451318,46.96,9.0,37.96
System Total 600Mb/s,24279266024,12252901326,1930821270,10322080056,2869808,2084520,50.47,7.95,42.51
System Total 700Mb/s,23815993606,12875392054,1696517642,11178874412,2558340,1811399,54.06,7.12,46.94
System Total 800Mb/s,23391879057,13475348044,1486763757,11988584287,2172165,1590254,57.61,6.36,51.25
System Total 900Mb/s,23067012513,14058457245,1207459087,12850998158,1730069,1308783,60.95,5.23,55.71
System Total 1000Mb/s,23053352220,14469144583,1102703280,13366441303,1561311,1198542,62.76,4.78,57.98

TEST 1: 10Mb/s
CORE 0 TOTAL,255768283784,6769008305,2293436855,4475571450,3667707,3222934,2.65,0.9,1.75
serial_driver,255768283784,32385,3062,29323,2,2,0.0,0.0,0.0
serial_virt_tx,255768283784,13970,4142,9828,2,2,0.0,0.0,0.0
ethernet_driver,255768283784,2295651903,777834439,1517817464,958053,948378,0.9,0.3,0.59
net_virt_tx,255768283784,975792672,368057736,607734936,369719,369719,0.38,0.14,0.24
net_virt_rx,255768283784,1368920689,629643677,739277012,850376,632587,0.54,0.25,0.29
client0,255768283784,878394715,133406882,744987833,215790,215750,0.34,0.05,0.29
client0_net_copier,255768283784,1158681874,361996037,796685837,631125,417685,0.45,0.14,0.31
client1,255768283784,18209626,5821593,12388033,10056,10056,0.01,0.0,0.0
client1_net_copier,255768283784,3868155,1275431,2592724,1707,1139,0.0,0.0,0.0
timer_driver,255768283784,69442316,15393856,54048460,27427,24233,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138029944931,7330697860,2498117013,4832580847,3828228,3349593,5.31,1.81,3.5
serial_driver,138029944931,33799,4771,29028,2,2,0.0,0.0,0.0
serial_virt_tx,138029944931,13323,3954,9369,2,2,0.0,0.0,0.0
