Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,12,150,594,10.1,152,247967559276,255968405839,0.0313,2481981478,4740760245,3966271,3527299,10,10,244.48,264.48,200000,818.08,200000,60826657,43303643,3233738,6274218,173856063412,657361692,14628852,1279842,23703,12409,19.83,304.13,216.52,16.17,31.37,869280,73.14,0,255968487731,7222741723,0.35,0.06,0.3,0.47,0.15,0.32,0.98,0.34,0.64,0.55,0.25,0.3,0.43,0.17,0.27
20.0,20.000342,20.000342,1472,55,150,362,17.8,153,130346860777,138205578276,0.0569,2476424630,4791073571,3798479,3313434,10,10,122.24,142.24,200000,1636.15,200000,60432275,43283594,3188391,6242740,94173706800,662085846,14816579,691027,23955,12382,18.99,302.16,216.42,15.94,31.21,470868,74.08,0,138205662970,7267498201,0.68,0.1,0.58,0.92,0.29,0.63,1.79,0.61,1.18,1.07,0.5,0.58,0.76,0.29,0.47
50.0,50.000655,50.000655,1472,24,143,462,11.18,141,58125741298,67517250148,0.1391,3010361412,5792038673,4483163,3890231,10,10,48.9,68.9,200000,4090.37,200000,72800626,51976383,3807976,7506048,42815187622,621452416,17759372,337586,28960,15051,22.42,364.0,259.88,19.04,37.53,214075,88.8,0,67517334351,8802400085,1.7,0.26,1.44,2.29,0.72,1.57,4.42,1.5,2.92,2.7,1.24,1.45,1.88,0.71,1.17
100.0,100.001089,100.000589,1472,28,203,561,101.46,154,34714125232,43909980066,0.2094,2715244760,5949464552,4113807,3476543,10,10,24.45,44.45,200000,8180.72,200000,65761114,52106218,3414487,7178136,21982614579,494572224,18903584,219549,29747,13576,20.57,328.81,260.53,17.07,35.89,109913,94.52,0,43910063012,8664709312,2.81,0.34,2.48,3.59,1.07,2.52,6.69,2.09,4.6,4.03,1.78,2.24,2.56,0.89,1.67
200.0,200.00257,199.99857,1472,105,217,600,102.9,162,20735701050,32227953026,0.3566,3368178050,7730971540,4945258,4035401,10,10,12.22,32.22,200000,16361.47,200000,81103272,66113745,3999784,8793282,16862833720,523303001,24127926,161139,38654,16840,24.73,405.52,330.57,20.0,43.97,84314,120.64,0,32228033923,11099149590,5.41,0.66,4.75,6.61,1.82,4.79,10.67,3.18,7.49,7.4,3.29,4.11,4.3,1.49,2.81
300.0,299.997272,300.001772,1472,78,280,565,113.15,273,17032232587,28290335558,0.3979,2847486243,8086731125,4243657,3366357,10,10,8.15,28.15,200000,24541.66,200000,63999929,62518295,3206779,7917258,14594846817,518477941,22454762,141451,40433,14237,21.22,320.0,312.59,16.03,39.59,72974,112.27,0,28290417039,10934217368,6.52,0.53,5.99,7.63,1.82,5.81,12.49,3.24,9.25,7.87,3.32,4.55,4.08,1.13,2.94
400.0,399.991676,399.997676,1472,141,371,655,90.82,378,14403536598,26269023595,0.4517,2755630902,8917338844,4074761,3106516,10,10,6.11,26.11,200000,32721.83,200000,60408262,64233464,2909128,7970029,8871125543,339732013,23274954,131345,44586,13778,20.37,302.04,321.17,14.55,39.85,44355,116.37,0,26269110812,11672969746,8.09,0.57,7.52,8.99,1.89,7.1,14.17,3.29,10.89,8.72,3.63,5.08,4.41,1.09,3.31
500.0,500.010402,499.995401,1472,331,523,910,66.63,517,13117947848,25086687579,0.4771,2296311300,9571137579,3355537,2500159,10,10,4.89,24.89,200000,40903.99,200000,47431987,61343724,2301745,7375959,12632348208,507537278,21911309,125433,47855,11481,16.78,237.16,306.72,11.51,36.88,63161,109.56,0,25086769354,11867448879,9.3,0.47,8.83,9.52,1.46,8.06,15.82,3.23,12.6,8.25,3.14,5.1,4.35,0.83,3.52
600.0,600.008762,599.999762,1472,559,745,906,50.87,745,11865599544,24286679233,0.5114,1968380179,10355866999,2926742,2119552,10,10,4.07,24.07,200000,49084.49,200000,36780656,59734180,1949706,7228133,12168461503,505447977,20663657,121433,51779,9841,14.63,183.9,298.67,9.75,36.14,60842,103.32,0,24286762117,12324247178,10.55,0.32,10.23,10.55,1.45,9.1,17.01,2.89,14.12,7.83,2.74,5.09,4.74,0.69,4.04
700.0,700.007837,699.997336,1472,656,756,883,36.0,757,10840641453,23815206881,0.5448,1706666730,11163746500,2577871,1818577,10,10,3.49,23.49,200000,57265.04,200000,28916450,59733021,1662384,7270927,11874673147,505465863,20204686,119076,55818,8533,12.89,144.58,298.67,8.31,36.35,59373,101.02,0,23815289074,12870413230,11.8,0.16,11.64,12.05,1.53,10.52,17.63,2.6,15.02,7.58,2.32,5.26,4.91,0.54,4.38
