Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,15,136,4117,43.06,150,248310361843,255768201206,0.0292,2293436855,4475571450,3667707,3222934,10,10,244.48,264.48,200000,818.08,200000,56461327,40477721,2967345,5804211,178360006410,674391409,14209808,1278841,22377,11467,18.34,282.31,202.39,14.84,29.02,891800,71.05,0,255768283784,6769008305,0.34,0.05,0.29,0.45,0.14,0.31,0.9,0.3,0.59,0.54,0.25,0.29,0.38,0.14,0.24
20.0,20.000342,20.000342,1472,26,142,260,18.06,151,130086632433,138029862505,0.0575,2498117013,4832580847,3828228,3349593,10,10,122.24,142.24,200000,1636.15,200000,62148164,43991129,3209863,6418699,93995983513,660836366,14751918,690149,24162,12490,19.14,310.74,219.96,16.05,32.09,469979,73.76,0,138029944931,7330697860,0.7,0.11,0.59,0.94,0.3,0.64,1.77,0.6,1.16,1.1,0.51,0.59,0.77,0.29,0.48
50.0,50.000513,50.000513,1472,67,139,617,53.91,136,58297319117,67542367013,0.1369,2915968213,5704355617,4414280,3805274,10,10,48.9,68.9,200000,4090.36,200000,71120647,51293246,3692020,7381246,42925498573,623052298,17539172,337711,28521,14579,22.07,355.6,256.47,18.46,36.91,214627,87.7,0,67542442764,8620323830,1.64,0.24,1.4,2.23,0.7,1.53,4.38,1.47,2.91,2.63,1.2,1.43,1.82,0.68,1.14
100.0,100.000666,100.000666,1472,76,177,535,92.15,137,33678337113,43891162945,0.2327,3134236725,6509596517,4676036,3991375,10,10,24.45,44.45,200000,8180.68,200000,77934449,58309065,3964876,8227533,25614324578,576278311,20732139,219455,32547,15671,23.38,389.67,291.55,19.82,41.14,128071,103.66,0,43891245445,9643833242,3.16,0.44,2.72,4.05,1.22,2.84,7.03,2.29,4.74,4.61,2.07,2.54,3.05,1.1,1.96
200.0,200.002889,199.998889,1472,96,216,569,110.15,180,20488925741,32224263462,0.3642,3395373900,7816254503,5004223,4190261,10,10,12.22,32.22,200000,16361.49,200000,83659636,67929779,4265169,9276282,16704530950,518390717,23683612,161121,39081,16976,25.02,418.3,339.65,21.33,46.38,83522,118.42,0,32224344025,11211628403,5.54,0.68,4.86,6.67,1.86,4.81,10.74,3.27,7.47,7.26,3.2,4.07,4.51,1.51,3.0
300.0,300.007256,300.002755,1472,110,289,573,113.08,281,16709333033,28287334462,0.4093,2975265838,8265486249,4401721,3513146,10,10,8.15,28.15,200000,24542.48,200000,68396349,64759287,3435605,8233051,14389602763,511191627,23431232,141436,41327,14876,22.01,341.98,323.8,17.18,41.17,71948,117.16,0,28287414288,11240752087,6.75,0.61,6.14,7.77,1.85,5.93,12.66,3.29,9.37,8.15,3.5,4.65,4.33,1.25,3.08
400.0,400.009526,399.999526,1472,177,382,940,89.97,385,14114947086,26282758809,0.463,2901777244,9085758052,4228046,3269571,10,10,6.11,26.11,200000,32723.29,200000,65507904,66471047,3136683,8110718,12982090223,497172280,23948962,131413,45428,14508,21.14,327.54,332.36,15.68,40.55,64910,119.74,0,26282838255,11987535296,8.45,0.71,7.73,9.11,1.86,7.25,14.16,3.29,10.87,9.33,4.02,5.31,4.5,1.15,3.35
500.0,500.002226,499.997226,1472,296,485,984,89.98,480,13202316253,25083865274,0.4737,2257824623,9521325489,3337624,2451318,10,10,4.89,24.89,200000,40903.32,200000,45736720,60662755,2265813,7179656,12690523502,509872983,21864056,125419,47606,11289,16.69,228.68,303.31,11.33,35.9,63452,109.32,0,25083943503,11779150112,9.2,0.42,8.77,9.56,1.5,8.06,15.65,3.15,12.5,8.17,3.1,5.08,4.32,0.82,3.5
600.0,599.99726,600.00026,1472,485,749,917,57.12,749,11929815201,24279183324,0.5086,1930821270,10322080056,2869808,2084520,10,10,4.07,24.07,200000,49083.55,200000,36152375,59002797,1904614,7100421,12211246431,507223512,20718554,121395,51610,9654,14.35,180.76,295.01,9.52,35.5,61056,103.59,0,24279266024,12252901326,10.5,0.3,10.2,10.61,1.41,9.2,16.92,2.85,14.07,7.61,2.64,4.97,4.76,0.73,4.03
700.0,700.007629,699.993629,1472,679,763,896,37.79,763,10836588195,23815911314,0.545,1696517642,11178874412,2558340,1811399,10,10,3.49,23.49,200000,57265.02,200000,28684305,59847986,1658047,7298072,11869728019,505255343,19991875,119079,55894,8482,12.79,143.42,299.24,8.29,36.49,59348,99.96,0,23815993606,12875392054,11.81,0.16,11.65,12.03,1.5,10.53,17.69,2.61,15.08,7.53,2.29,5.24,4.93,0.54,4.39
