Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,13,142,269,17.75,151,247777958505,255765096148,0.0312,2477892478,4731408169,3961697,3522281,10,10,244.48,264.48,200000,818.08,200000,60766421,43223262,3219141,6269700,173719881497,656846779,14611056,1278825,23657,12389,19.81,303.83,216.12,16.1,31.35,868599,73.06,0,255765180685,7209300647,0.35,0.06,0.3,0.47,0.15,0.32,0.98,0.34,0.64,0.55,0.25,0.3,0.43,0.17,0.26
20.0,20.000342,20.000342,1472,44,143,337,18.11,151,130020768754,138029947824,0.058,2515311088,4859693688,3866931,3392595,10,10,122.24,142.24,200000,1636.15,200000,62191266,44193178,3300755,6404837,93951425328,660523101,14878265,690149,24298,12576,19.33,310.96,220.97,16.5,32.02,469757,74.39,0,138030033181,7375004776,0.69,0.11,0.59,0.93,0.29,0.64,1.81,0.62,1.19,1.09,0.5,0.59,0.78,0.29,0.49
50.0,50.000657,50.000657,1472,30,140,703,12.37,138,58536452470,67536507908,0.1333,2824253309,5586842485,4249779,3668883,10,10,48.9,68.9,200000,4090.37,200000,69844879,50329092,3667970,7290398,38787529391,562991916,16896060,337682,27934,14121,21.25,349.22,251.65,18.34,36.45,193937,84.48,0,67536592590,8411095794,1.69,0.25,1.44,2.26,0.71,1.55,4.1,1.37,2.72,2.65,1.22,1.44,1.71,0.62,1.09
100.0,100.000396,100.000396,1472,18,178,566,95.73,138,33620607331,43906194299,0.2343,3175803054,6539811346,4731356,4042160,10,10,24.45,44.45,200000,8180.66,200000,78800145,58654389,4048578,8299115,25579357647,575490761,21018050,219530,32699,15879,23.66,394.0,293.27,20.24,41.5,127896,105.09,0,43906279981,9715614400,3.18,0.45,2.73,4.06,1.23,2.83,7.11,2.33,4.77,4.61,2.08,2.54,3.11,1.13,1.98
200.0,200.002634,199.998634,1472,77,213,543,105.58,157,20795074286,32225683496,0.3547,3271485820,7670506348,4855765,4015265,10,10,12.22,32.22,200000,16361.47,200000,78811486,65496227,4003096,8846614,16897487720,524378479,23365297,161128,38352,16357,24.28,394.06,327.48,20.02,44.23,84487,116.83,0,32225763809,10941992168,5.3,0.61,4.69,6.55,1.8,4.74,10.65,3.17,7.48,7.18,3.17,4.01,4.22,1.38,2.83
300.0,299.997005,300.001505,1472,76,285,655,113.99,272,16737704992,28292373563,0.4084,2969778643,8232898593,4400234,3528053,10,10,8.15,28.15,200000,24541.64,200000,68478327,64777203,3420480,8340610,14409959454,511909736,23229381,141461,41164,14848,22.0,342.39,323.89,17.1,41.7,72049,116.15,0,28292452855,11202677236,6.73,0.59,6.14,7.78,1.88,5.9,12.63,3.32,9.31,8.03,3.42,4.61,4.37,1.27,3.1
400.0,400.015913,400.001911,1472,142,369,882,90.47,378,14424321013,26289440674,0.4513,2752593209,8918622348,4071554,3100574,10,10,6.11,26.11,200000,32723.81,200000,60191872,64110839,2921086,7982231,8886114899,340310877,23349752,131447,44593,13762,20.36,300.96,320.55,14.61,39.91,44430,116.75,0,26289526863,11671215557,8.09,0.55,7.54,8.99,1.9,7.09,14.22,3.3,10.91,8.64,3.6,5.04,4.4,1.1,3.3
500.0,500.003501,499.996001,1472,320,523,924,72.84,517,13149244969,25086481103,0.4758,2285193311,9551287883,3337116,2483842,10,10,4.89,24.89,200000,40903.43,200000,47231182,61521470,2289172,7383476,12652842802,508359323,22106361,125432,47756,11425,16.69,236.16,307.61,11.45,36.92,63264,110.53,0,25086558240,11836481194,9.34,0.48,8.86,9.48,1.45,8.03,15.71,3.2,12.51,8.21,3.12,5.09,4.38,0.84,3.54
600.0,600.003412,600.003412,1472,490,749,954,56.44,750,11958214912,24288473034,0.5077,1926655416,10307927105,2852981,2082074,10,10,4.07,24.07,200000,49084.05,200000,36331802,58845458,1900052,7155463,12230055480,508005673,20590914,121442,51539,9633,14.26,181.66,294.23,9.5,35.78,61150,102.95,0,24288559541,12234582521,10.53,0.32,10.21,10.52,1.39,9.12,16.9,2.84,14.06,7.57,2.62,4.96,4.78,0.74,4.04
700.0,700.005132,699.998132,1472,670,763,969,37.56,763,10852377010,23817493951,0.5444,1700980403,11160044819,2569169,1816579,10,10,3.49,23.49,200000,57264.82,200000,28795925,59660796,1664612,7266720,11881898904,505773150,20041930,119087,55800,8504,12.85,143.98,298.3,8.32,36.33,59409,100.21,0,23817572387,12861025222,11.8,0.16,11.64,11.99,1.51,10.47,17.67,2.61,15.07,7.53,2.3,5.23,4.93,0.54,4.39
