Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,78,141,414,18.3,149,249025002297,255773729176,0.0264,2256661029,3814744243,3621665,3175052,10,10,244.48,264.48,200000,818.08,200000,38182635,37005027,2305204,5155855,183002162330,691943719,9522353,1278868,19073,11283,18.11,190.91,185.03,11.53,25.78,915010,47.61,0,255773809219,6071405272,0.32,0.05,0.27,0.43,0.15,0.29,0.79,0.29,0.5,0.48,0.25,0.23,0.31,0.13,0.18
20.0,20.000341,20.000341,1472,73,147,247,9.9,149,130645398580,138031211302,0.0535,2520596783,4201516739,3908443,3438290,10,10,122.24,142.24,200000,1636.15,200000,43262479,41010076,2624211,5800706,94224797087,662445006,9938917,690156,21007,12602,19.54,216.31,205.05,13.12,29.0,471123,49.69,0,138031290468,6722113522,0.65,0.11,0.54,0.87,0.29,0.58,1.67,0.61,1.06,0.96,0.51,0.46,0.68,0.29,0.39
50.0,50.000661,50.000661,1472,23,136,439,7.14,135,58827351368,67543012130,0.129,3020460193,5038572448,4551326,3974115,10,10,48.9,68.9,200000,4090.37,200000,51300596,48842266,3105354,6925713,38821586708,563486282,11665197,337715,25192,15102,22.76,256.5,244.21,15.53,34.63,194107,58.33,0,67543088267,8059032641,1.6,0.27,1.33,2.18,0.73,1.45,4.04,1.48,2.56,2.41,1.26,1.15,1.65,0.71,0.94
100.0,100.000627,100.000627,1472,53,175,620,92.88,135,34620684165,43913333610,0.2116,3098467931,5612439799,4647277,3953982,10,10,24.45,44.45,200000,8180.68,200000,51721934,52926780,3059155,7200930,21771995508,489832401,14688405,219566,28062,15492,23.24,258.61,264.63,15.3,36.0,108859,73.44,0,43913413648,8710907730,2.89,0.43,2.46,3.76,1.21,2.55,6.5,2.27,4.23,4.07,2.07,1.99,2.56,1.06,1.51
200.0,200.001675,199.998675,1472,106,211,569,106.6,141,21633574622,32224963711,0.3287,3304771382,6825161430,4880922,4024947,10,10,12.22,32.22,200000,16361.39,200000,53681385,60471893,3057038,7784655,12982019540,402869314,16793764,161124,34125,16523,24.4,268.41,302.36,15.29,38.92,64910,83.97,0,32225038313,10129932812,5.09,0.66,4.44,6.23,1.81,4.42,9.8,3.12,6.68,6.64,3.31,3.34,3.62,1.35,2.27
300.0,300.001752,300.001752,1472,106,269,595,114.34,261,16557660611,28290501630,0.4147,3406627949,7897488627,4997764,4082059,10,10,8.15,28.15,200000,24542.03,200000,55016343,66386746,3107951,8415792,9840516686,349583175,18424147,141452,39487,17033,24.99,275.08,331.93,15.54,42.08,49202,92.12,0,28290579105,11304116576,6.98,0.76,6.21,7.97,2.14,5.83,12.37,3.66,8.71,8.17,3.96,4.21,4.42,1.5,2.91
400.0,400.004176,400.000175,1472,159,361,640,90.19,370,14541841581,26271715818,0.4465,2985657710,8506212702,4415617,3388777,10,10,6.11,26.11,200000,32722.85,200000,45395705,63524804,2469836,7652339,8826317574,338018502,19245915,131358,42531,14928,22.08,226.98,317.62,12.35,38.26,44131,96.23,0,26271791448,11491870412,8.07,0.62,7.44,9.02,2.1,6.92,13.79,3.46,10.34,8.64,4.03,4.61,4.17,1.14,3.03
500.0,499.998167,499.995667,1472,288,456,968,77.47,452,13488498183,25086220936,0.4623,2361647223,9125069521,3524478,2556968,10,10,4.89,24.89,200000,40902.99,200000,33636766,58176093,1782933,6767158,12781540446,513528993,18744794,125431,45625,11808,17.62,168.18,290.88,8.91,33.84,63907,93.72,0,25086297959,11486716744,9.02,0.4,8.63,9.44,1.65,7.79,15.05,3.1,11.94,8.01,3.34,4.67,4.22,0.91,3.31
600.0,600.001463,600.004463,1472,506,726,893,63.49,727,11975987489,24282924116,0.5068,2101733103,10110198458,3087354,2251700,10,10,4.07,24.07,200000,49083.89,200000,29318583,58900900,1606932,7073538,12152393628,504779518,18842262,121414,50550,10508,15.44,146.59,294.5,8.03,35.37,60761,94.21,0,24283000927,12211931561,10.54,0.35,10.19,10.69,1.49,9.2,16.74,3.0,13.73,7.71,3.03,4.67,4.57,0.76,3.8
700.0,700.013975,699.996475,1472,670,767,905,36.93,766,10996721010,23814494212,0.5382,1725368119,10990062357,2601579,1838187,10,10,3.49,23.49,200000,57265.54,200000,22277119,58492573,1373794,7057727,11896999369,506416878,18359174,119072,54950,8626,13.01,111.39,292.46,6.87,35.29,59484,91.8,0,23814568376,12715430476,11.84,0.17,11.67,11.89,1.51,10.38,17.64,2.7,14.94,7.23,2.31,4.91,4.74,0.54,4.2
800.0,800.010189,800.006189,1472,700,760,867,23.43,760,9900059927,23391792273,0.5768,1554231920,11832429152,2304602,1658246,10,10,3.06,23.06,200000,65445.86,200000,20508873,59940356,1235360,7466223,11580228205,502266123,19562252,116958,59162,7771,11.52,102.54,299.7,6.18,37.33,57901,97.81,0,23391864795,13386661072,13.41,0.17,13.24,12.69,1.33,11.36,18.47,2.35,16.12,7.25,2.18,5.07,5.35,0.6,4.75
900.0,900.006753,900.002253,1472,726,776,848,16.4,775,8980194530,23064486834,0.6106,1267496869,12710703081,1831350,1372633,10,10,2.72,22.72,200000,73626.21,200000,17580924,60938369,1012377,7715649,11382896255,501086624,20045321,115322,63553,6337,9.16,87.9,304.69,5.06,38.58,56914,100.23,0,23064565960,13978199950,15.1,0.18,14.92,13.09,0.93,12.16,19.19,1.87,17.32,6.99,1.78,5.21,6.18,0.73,5.45
1000.0,957.272775,999.990865,1472,1318,1359,1432,13.34,1358,8566213694,23059899009,0.6285,1153317311,13229163989,1642982,1266595,10,10,2.55,22.55,200000,78310.93,200000,16217247,62295414,929083,7931856,11353503017,503393734,20066556,115299,66145,5766,8.21,81.09,311.48,4.65,39.66,56767,100.33,0,23059977321,14382481300,15.98,0.19,15.79,13.4,0.77,12.63,19.52,1.64,17.87,6.86,1.6,5.25,6.56,0.78,5.78
