Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,72,146,4789,68.48,151,249149800615,255973685427,0.0267,2097646112,4141933400,3354581,2894779,10,10,244.48,264.48,200000,818.08,200000,51096766,37458263,2630901,5331664,178921772952,676515487,13355021,1279868,20709,10488,16.77,255.48,187.29,13.15,26.66,894608,66.78,0,255973772922,6239579512,0.33,0.05,0.28,0.45,0.14,0.31,0.77,0.26,0.51,0.53,0.24,0.28,0.32,0.12,0.2
20.0,20.000341,20.000341,1472,16,148,1544,36.08,151,130439877191,138025068657,0.055,2378939742,4625893641,3667314,3188932,10,10,122.24,142.24,200000,1636.15,200000,58018361,41831810,3034444,5962715,94223426606,662435371,14552061,690125,23129,11894,18.34,290.09,209.16,15.17,29.81,471117,72.76,0,138025150832,7004833383,0.66,0.1,0.56,0.88,0.28,0.61,1.73,0.59,1.14,1.03,0.47,0.55,0.74,0.28,0.46
50.0,50.000657,50.000657,1472,28,139,438,7.75,138,57903502790,67522400308,0.1425,3070103048,5888785070,4604052,4028321,10,10,48.9,68.9,200000,4090.37,200000,76057906,53707952,3994349,7832333,42674734922,619413795,17653651,337612,29443,15350,23.02,380.29,268.54,19.97,39.16,213373,88.27,0,67522484427,8958888118,1.74,0.27,1.47,2.33,0.73,1.6,4.46,1.54,2.92,2.72,1.26,1.47,1.97,0.74,1.23
100.0,100.000042,100.000042,1472,44,185,552,92.4,139,33626718213,43908962712,0.2342,3160408580,6514120197,4741779,4058075,10,10,24.45,44.45,200000,8180.63,200000,78762499,58928997,4087882,8326250,25584425787,575603664,20887034,219544,32570,15802,23.71,393.81,294.64,20.44,41.63,127922,104.44,0,43909044064,9674528777,3.18,0.44,2.74,4.07,1.23,2.85,7.06,2.33,4.73,4.61,2.09,2.52,3.05,1.09,1.96
200.0,200.003731,199.99873,1472,67,211,539,110.07,151,20330520262,32225735879,0.3691,3453247209,7876823725,5096148,4304525,10,10,12.22,32.22,200000,16361.56,200000,85904566,69354113,4396368,9515633,16604344341,515282455,23824024,161128,39384,17266,25.48,429.52,346.77,21.98,47.58,83021,119.12,0,32225816943,11330070934,5.6,0.69,4.91,6.77,1.9,4.87,10.79,3.34,7.45,7.34,3.24,4.1,4.6,1.54,3.06
300.0,300.004676,300.001676,1472,88,273,560,110.27,262,16673808859,28287100126,0.4106,3011923564,8270610360,4466267,3548047,10,10,8.15,28.15,200000,24542.27,200000,69100039,64938827,3401785,8307012,10074537708,357897753,23401894,141435,41353,15059,22.33,345.5,324.69,17.01,41.54,50372,117.01,0,28287182435,11282533924,6.75,0.61,6.14,7.86,1.87,5.99,12.56,3.3,9.26,8.29,3.58,4.71,4.37,1.27,3.1
400.0,400.003598,399.999598,1472,161,372,986,89.02,379,14311528977,26282845235,0.4555,2815989519,8972827252,4143788,3163745,10,10,6.11,26.11,200000,32722.81,200000,62543967,65110299,2990450,8099381,8815492430,337603821,23580897,131414,44864,14079,20.72,312.72,325.55,14.95,40.5,44077,117.9,0,26282930910,11788816771,8.18,0.6,7.58,9.06,1.91,7.15,14.16,3.32,10.84,8.85,3.71,5.14,4.55,1.16,3.39
500.0,500.014913,499.997412,1472,292,510,991,92.08,500,13231790479,25064018244,0.4721,2253907464,9476434726,3324045,2458714,10,10,4.89,24.89,200000,40904.36,200000,45524625,60867587,2260254,7326036,12707599669,510561605,21637829,125320,47382,11269,16.62,227.62,304.34,11.3,36.63,63537,108.19,0,25064100425,11730342190,9.16,0.38,8.78,9.57,1.54,8.03,15.64,3.21,12.43,8.14,3.05,5.09,4.23,0.79,3.44
600.0,600.004825,600.001825,1472,526,751,973,54.7,750,11852395238,24264961996,0.5115,1970856021,10345135318,2930346,2126346,10,10,4.07,24.07,200000,49084.16,200000,36987759,59657166,1954014,7250502,12160762191,505127606,20862496,121324,51725,9854,14.65,184.94,298.29,9.77,36.25,60803,104.31,0,24265047287,12315991339,10.55,0.31,10.24,10.69,1.45,9.24,16.94,2.89,14.05,7.79,2.74,5.04,4.74,0.72,4.01
700.0,700.005497,699.994997,1472,679,768,936,37.68,766,10866438956,23815251220,0.5437,1694787741,11150379710,2562819,1817732,10,10,3.49,23.49,200000,57264.85,200000,28596272,59372645,1665193,7239644,11890993141,506160300,20020290,119076,55751,8473,12.81,142.98,296.86,8.33,36.2,59454,100.1,0,23815331646,12845167451,11.83,0.16,11.66,11.9,1.5,10.41,17.7,2.62,15.07,7.5,2.27,5.23,4.94,0.54,4.4
