Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,43,129,4140,38.86,117,248547004584,255786856408,0.0283,2381981042,4151691025,3807081,3359381,10,10,244.48,264.48,200000,818.08,200000,41087001,41704769,2661057,6076464,182742043421,690960192,12140767,1278934,20758,11909,19.04,205.44,208.52,13.31,30.38,913710,60.7,0,255786933882,6533672067,0.34,0.06,0.28,0.45,0.15,0.3,0.87,0.31,0.55,0.51,0.25,0.25,0.36,0.15,0.21
20.0,20.000342,20.000342,1472,17,144,2110,33.63,149,130982116073,138206246899,0.0523,2381681347,4249586045,3703217,3219337,10,10,122.24,142.24,200000,1636.15,200000,40733199,41962068,2681071,6070738,90221816088,634302179,12592136,691031,21247,11908,18.52,203.67,209.81,13.41,30.35,451109,62.96,0,138206323236,6631267392,0.65,0.1,0.55,0.87,0.28,0.59,1.62,0.58,1.05,0.98,0.49,0.49,0.64,0.26,0.37
50.0,50.000655,50.000655,1472,37,149,523,62.82,135,58591103638,67539529339,0.1325,3004342242,5297285599,4577573,3976949,10,10,48.9,68.9,200000,4090.37,200000,52362074,52956521,3383011,7765436,38737317570,562263088,14687829,337697,26486,15021,22.89,261.81,264.78,16.92,38.83,193686,73.44,0,67539607048,8301627841,1.67,0.27,1.4,2.22,0.73,1.49,4.15,1.49,2.66,2.48,1.23,1.25,1.72,0.72,1.0
100.0,100.000503,100.000503,1472,14,176,581,93.85,136,34548145975,43911046615,0.2132,3014029598,5806854150,4527490,3846764,10,10,24.45,44.45,200000,8180.67,200000,51499932,55757818,3254701,7845763,21795129461,490352541,17525735,219555,29034,15070,22.64,257.5,278.79,16.27,39.23,108975,87.63,0,43911127619,8820883748,2.91,0.4,2.51,3.74,1.16,2.58,6.64,2.25,4.4,4.09,1.97,2.12,2.64,1.07,1.58
200.0,200.00111,199.99911,1472,89,216,526,102.51,151,22236542850,32227098704,0.31,2893190978,6704026233,4315497,3526165,10,10,12.22,32.22,200000,16361.35,200000,46846232,59174386,3006040,7881703,17742692402,550606062,18975555,161135,33520,14465,21.58,234.23,295.87,15.03,39.41,88713,94.88,0,32227177970,9597217211,4.83,0.52,4.31,5.87,1.61,4.27,9.56,2.86,6.7,6.18,2.86,3.33,3.28,1.12,2.16
300.0,299.998763,300.003263,1472,110,303,549,109.06,280,17458912748,28283705217,0.3827,2825565231,7691768843,4258828,3325350,10,10,8.15,28.15,200000,24541.78,200000,43147552,61266953,2770837,7982751,14790288594,525421712,20089792,141418,38458,14127,21.29,215.74,306.33,13.85,39.91,73951,100.45,0,28283784793,10517334074,6.27,0.48,5.79,7.55,1.84,5.71,12.16,3.24,8.92,7.48,3.33,4.16,3.67,1.09,2.57
400.0,399.995905,399.997905,1472,148,367,774,88.27,376,14564700461,26269048369,0.4456,2836595700,8660233762,4230067,3198471,10,10,6.11,26.11,200000,32722.18,200000,42662124,65130382,2703335,8391787,8897992797,340761775,21481989,131345,43301,14182,21.15,213.31,325.65,13.52,41.96,44489,107.41,0,26269129071,11496829462,7.96,0.52,7.44,9.23,2.04,7.19,13.87,3.39,10.48,8.49,3.75,4.74,4.16,1.08,3.07
500.0,499.986784,499.996783,1472,254,446,938,71.96,441,13473749051,25087530231,0.4629,2256220533,9248369879,3399435,2444890,10,10,4.89,24.89,200000,40902.06,200000,32006003,59894201,1987052,7464974,12816472273,514930160,20086502,125437,46241,11281,17.0,160.03,299.47,9.94,37.32,64082,100.43,0,25087609055,11504590412,8.94,0.33,8.61,9.72,1.65,8.07,15.05,3.03,12.02,7.77,3.04,4.74,4.31,0.93,3.39
600.0,599.995005,600.001004,1472,455,709,950,79.05,716,11952326015,24262845317,0.5074,1998803235,10216357736,2953359,2158144,10,10,4.07,24.07,200000,49083.36,200000,27888845,60579175,1791691,7655288,12172032566,505594348,20088735,121314,51081,9994,14.77,139.44,302.9,8.96,38.28,60860,100.44,0,24262928688,12215160971,10.54,0.32,10.22,10.96,1.44,9.52,16.69,2.94,13.76,7.43,2.73,4.7,4.66,0.79,3.87
700.0,700.001336,699.994336,1472,680,773,985,38.38,773,10873224340,23814496408,0.5434,1709517322,11129357820,2595423,1838340,10,10,3.49,23.49,200000,57264.51,200000,22061826,60186867,1512546,7513209,11845648243,504229672,19010734,119072,55646,8547,12.98,110.31,300.93,7.56,37.57,59228,95.05,0,23814572315,12838875142,11.88,0.17,11.71,12.2,1.51,10.69,17.67,2.66,15.0,7.29,2.28,5.02,4.82,0.55,4.27
