Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,16,148,3984,36.73,155,247400602725,255778715486,0.0328,2304669022,5363330996,3679167,3249653,10,10,244.48,264.48,200000,818.08,200000,54925488,45117950,2855380,7509707,178449603423,674730182,15858692,1278893,26816,11523,18.4,274.63,225.59,14.28,37.55,892248,79.29,0,255778800187,7668000018,0.4,0.05,0.35,0.49,0.14,0.35,1.01,0.31,0.7,0.62,0.25,0.37,0.44,0.15,0.29
20.0,20.00034,20.00034,1472,75,155,303,5.48,155,128507057570,138029740194,0.069,2683945565,6124115731,4133825,3663248,10,10,122.24,142.24,200000,1636.15,200000,63780380,51165939,3298614,8680649,93765671013,659217104,17539026,690148,30620,13419,20.67,318.9,255.83,16.49,43.4,468828,87.7,0,138029824744,8808061296,0.83,0.11,0.73,1.0,0.29,0.71,2.23,0.68,1.54,1.27,0.51,0.76,1.01,0.35,0.67
50.0,50.000659,50.000659,1472,77,141,844,15.46,141,57192450240,67536948458,0.1532,2979637769,6818153254,4390527,3799020,10,10,48.9,68.9,200000,4090.37,200000,69538572,56792127,3519742,9501500,38780112910,562884284,18797335,337684,34090,14898,21.95,347.69,283.96,17.6,47.51,193900,93.99,0,67537026139,9797791023,2.01,0.26,1.75,2.42,0.71,1.71,4.82,1.47,3.35,3.07,1.23,1.83,2.13,0.72,1.41
100.0,100.001122,100.000622,1472,16,210,699,104.1,160,34318512893,43912694292,0.2185,2558461944,6582065947,3812975,3231204,10,10,24.45,44.45,200000,8180.72,200000,58196390,54320278,2958898,8391845,26746259282,601746408,18660904,219563,32910,12792,19.06,290.98,271.6,14.79,41.96,133731,93.3,0,43912780404,9140527891,3.06,0.32,2.74,3.61,0.95,2.66,6.92,1.95,4.98,4.38,1.7,2.68,2.77,0.89,1.89
200.0,200.001909,199.997909,1472,90,236,484,111.77,222,20317427263,32224399893,0.3695,3051711917,8410012091,4484471,3700195,10,10,12.22,32.22,200000,16361.41,200000,71668648,69722650,3530219,10487978,13163306805,408495359,22920705,161121,42050,15258,22.42,358.34,348.61,17.65,52.44,65816,114.6,0,32224483930,11461724008,5.83,0.57,5.26,6.62,1.69,4.93,10.91,2.91,8.0,7.59,2.9,4.69,4.56,1.38,3.18
300.0,300.008708,300.004208,1472,115,317,638,113.93,296,17401681231,28289837955,0.3849,2387198197,8245567260,3575439,2795036,10,10,8.15,28.15,200000,24542.6,200000,44964508,59775940,2462705,8034090,15441352619,548555882,20113218,141449,41227,11935,17.88,224.82,298.88,12.31,40.17,77206,100.57,0,28289915526,10632765457,6.23,0.36,5.87,7.18,1.5,5.67,12.68,2.87,9.81,7.84,2.86,4.98,3.59,0.83,2.76
400.0,400.006723,399.998723,1472,163,369,763,87.26,377,14367644158,26288422835,0.4535,2456895139,9314186257,3612865,2725481,10,10,6.11,26.11,200000,32723.06,200000,48197365,65773192,2499679,8872071,13767998354,527269168,21688401,131442,46570,12284,18.06,240.99,328.87,12.5,44.36,68839,108.44,0,26288503589,11771081396,8.15,0.45,7.7,8.73,1.67,7.06,14.57,3.04,11.53,8.72,3.13,5.59,4.54,1.05,3.5
500.0,499.995009,499.995009,1472,350,606,914,76.28,603,12728849484,25084159994,0.4926,2213025933,10038946361,3214642,2406734,10,10,4.89,24.89,200000,40902.73,200000,40091073,65697190,2209884,8635530,8615913498,346164526,21269166,125420,50194,11065,16.07,200.46,328.49,11.05,43.18,43079,106.35,0,25084244047,12251972294,9.34,0.4,8.94,9.69,1.44,8.25,16.35,3.11,13.24,8.88,3.05,5.83,4.51,0.8,3.71
600.0,600.011399,599.999398,1472,620,752,875,50.21,751,11715908406,24283078672,0.5175,1799006179,10663441824,2709309,1941146,10,10,4.07,24.07,200000,49084.7,200000,28853470,61806970,1715105,7908981,12496102485,519057764,19617424,121415,53317,8995,13.55,144.27,309.03,8.58,39.54,62480,98.09,0,24283163304,12462448003,10.52,0.23,10.29,10.55,1.4,9.15,17.27,2.69,14.58,7.98,2.42,5.56,4.93,0.64,4.28
700.0,700.008514,699.994513,1472,666,757,873,38.04,758,10593299545,23813363413,0.5552,1624136091,11488967017,2439645,1729690,10,10,3.49,23.49,200000,57265.09,200000,25690330,63153136,1525171,8117449,12093801976,514793532,19685899,119066,57444,8120,12.2,128.45,315.77,7.63,40.59,60469,98.43,0,23813449657,13113103108,11.99,0.16,11.83,11.89,1.42,10.47,17.92,2.43,15.49,8.1,2.22,5.87,5.09,0.56,4.53
800.0,799.997008,800.009008,1472,692,756,849,22.76,755,9598915569,23395589670,0.5897,1398539910,12288776313,2032623,1506815,10,10,3.06,23.06,200000,65444.78,200000,23527507,63750262,1314085,8332316,11797217640,511676430,20176471,116977,61443,6992,10.16,117.64,318.75,6.57,41.66,58986,100.88,0,23395668589,13687316223,13.64,0.17,13.47,12.37,1.08,11.29,18.83,2.02,16.81,7.71,1.99,5.72,5.88,0.7,5.18
900.0,900.013287,899.999787,1472,699,764,856,14.8,764,8780536703,23057562526,0.6192,1128165950,13038525773,1604721,1226294,10,10,2.72,22.72,200000,73626.74,200000,20410867,64049892,1123949,8448090,11601235779,510698594,19456441,115287,65192,5640,8.02,102.05,320.25,5.62,42.24,58006,97.28,0,23057650062,14166691723,15.27,0.18,15.09,12.75,0.72,12.03,19.54,1.64,17.9,7.22,1.59,5.63,6.58,0.74,5.83
1000.0,956.196523,999.990698,1472,1306,1356,1451,11.58,1356,8169377384,22915777197,0.6435,1033403240,13598169886,1460251,1121524,10,10,2.56,22.56,200000,78222.88,200000,19746292,66352005,1074096,8673663,11403108587,505528723,19543698,114578,67990,5167,7.3,98.73,331.76,5.37,43.37,57015,97.72,0,22915862864,14631573126,16.33,0.19,16.14,13.4,0.62,12.77,20.05,1.49,18.56,7.11,1.44,5.67,6.88,0.75,6.13
