Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,63,135,4344,23.0,142,247735457830,255780555865,0.0315,2344376547,5001720631,3744534,3300626,10,10,244.48,264.48,200000,818.08,200000,48782020,43502449,2807819,5915761,178536749577,675059687,14980389,1278902,25008,11721,18.72,243.91,217.51,14.04,29.58,892683,74.9,0,255780637673,7346097178,0.38,0.05,0.33,0.48,0.15,0.34,0.98,0.31,0.67,0.58,0.25,0.33,0.42,0.15,0.27
20.0,20.000342,20.000342,1472,10,145,1748,20.4,152,129479209449,138030883160,0.062,2530056100,5387182782,3901158,3426324,10,10,122.24,142.24,200000,1636.15,200000,52674314,46748132,3030436,6401125,94192607005,662218723,15615480,690154,26935,12650,19.51,263.37,233.74,15.15,32.01,470963,78.08,0,138030966450,7917238882,0.76,0.1,0.65,0.97,0.29,0.67,1.98,0.63,1.35,1.15,0.5,0.65,0.84,0.3,0.54
50.0,50.000656,50.000656,1472,9,139,443,7.28,139,57399327451,67518042202,0.1499,3024116730,6460175395,4530852,3943947,10,10,48.9,68.9,200000,4090.37,200000,63053208,55971861,3568409,7629556,38758057323,562564128,18239911,337590,32300,15120,22.65,315.27,279.86,17.84,38.15,193790,91.2,0,67518127280,9484292125,1.92,0.27,1.65,2.43,0.74,1.7,4.72,1.49,3.23,2.91,1.26,1.65,2.02,0.71,1.3
100.0,100.000843,100.000343,1472,16,189,521,95.99,142,33686699951,43909613428,0.2328,2929729337,6759823188,4377157,3708400,10,10,24.45,44.45,200000,8180.7,200000,60192176,57723816,3350329,7579038,21983880577,494600038,19987118,219548,33799,14648,21.89,300.96,288.62,16.75,37.9,109919,99.94,0,43909696506,9689552525,3.21,0.39,2.82,4.0,1.14,2.85,7.24,2.18,5.07,4.66,1.96,2.7,2.9,0.99,1.91
200.0,200.001042,199.999042,1472,73,223,573,114.06,196,20314100662,32224390910,0.3696,3241432172,8185240669,4731156,3967501,10,10,12.22,32.22,200000,16361.34,200000,67531952,69101623,3676280,8828480,13025622436,404221951,22630486,161121,40926,16207,23.66,337.66,345.51,18.38,44.14,65128,113.15,0,32224473542,11426672841,5.81,0.65,5.17,6.69,1.77,4.92,10.96,3.11,7.85,7.35,3.04,4.31,4.59,1.49,3.1
300.0,300.002603,299.999603,1472,66,292,620,110.95,294,15786981781,28288818805,0.4419,3165402715,8992746180,4599451,3716594,10,10,8.15,28.15,200000,24542.1,200000,63170360,71563346,3430605,8970992,14488666359,514708557,24315078,141444,44963,15827,23.0,315.85,357.82,17.15,44.85,72443,121.58,0,28288903389,12158148895,7.47,0.71,6.76,8.3,1.96,6.34,13.26,3.37,9.88,8.92,3.65,5.28,4.97,1.48,3.49
400.0,400.005024,399.999024,1472,183,371,939,83.74,383,14351700135,26283836557,0.454,2586913692,9169928566,3810184,2888888,10,10,6.11,26.11,200000,32722.92,200000,46370256,64714534,2595268,7861045,9356923493,358339116,22337553,131419,45849,12934,19.05,231.85,323.57,12.98,39.31,46784,111.69,0,26283917416,11756842258,8.12,0.5,7.62,8.95,1.78,7.17,14.46,3.15,11.31,8.7,3.34,5.36,4.44,1.06,3.38
500.0,500.005678,499.995675,1472,312,513,939,63.27,515,13159917077,25089061971,0.4755,2133227294,9692719832,3131175,2334551,10,10,4.89,24.89,200000,40903.61,200000,35258840,60373772,2051812,7279058,8755813671,351786818,20705617,125445,48463,10666,15.66,176.29,301.87,10.26,36.4,43779,103.53,0,25089141780,11825947126,9.1,0.32,8.78,9.36,1.44,7.92,16.03,3.11,12.92,8.04,2.72,5.32,4.55,0.9,3.65
600.0,600.006048,600.003048,1472,591,749,881,50.09,749,11792055127,24285730418,0.5144,1860412423,10533549372,2796053,2003444,10,10,4.07,24.07,200000,49084.26,200000,28169734,59489939,1753992,7247124,12462793549,517673410,19976180,121428,52667,9302,13.98,140.85,297.45,8.77,36.24,62313,99.88,0,24285814618,12393961795,10.5,0.26,10.24,10.61,1.42,9.18,17.15,2.75,14.4,7.91,2.55,5.35,4.8,0.65,4.15
700.0,700.011739,699.997738,1472,667,750,879,35.99,751,10704677859,23811846780,0.5504,1651692743,11352678881,2481015,1749560,10,10,3.49,23.49,200000,57265.36,200000,24121341,60415021,1554524,7457673,12082159416,514298299,19657681,119059,56763,8258,12.41,120.61,302.08,7.77,37.29,60410,98.29,0,23811933476,13004371624,11.87,0.16,11.7,11.97,1.45,10.52,17.84,2.5,15.34,7.88,2.27,5.61,4.98,0.53,4.45
