Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,27,155,4311,58.69,152,248517994620,255969921366,0.0291,2302245007,4462007335,3681701,3234000,10,10,244.48,264.48,200000,818.08,200000,56484253,40612907,2972623,5829349,178509992631,674958517,14118178,1279849,22310,11511,18.41,282.42,203.06,14.86,29.15,892549,70.59,0,255970006773,6764252342,0.35,0.05,0.29,0.46,0.14,0.31,0.89,0.3,0.58,0.54,0.25,0.29,0.38,0.14,0.24
20.0,20.000344,20.000344,1472,12,135,2190,23.56,150,130401231034,138027810298,0.0553,2385953322,4667945770,3653971,3176579,10,10,122.24,142.24,200000,1636.15,200000,59645735,42494547,3107661,6181957,94200899059,662277077,14389864,690139,23339,11929,18.27,298.23,212.47,15.54,30.91,471004,71.95,0,138027890080,7053899092,0.7,0.11,0.59,0.93,0.29,0.64,1.65,0.56,1.09,1.09,0.51,0.59,0.7,0.26,0.45
50.0,50.000651,50.000651,1472,15,158,530,76.28,138,58357617309,67541138313,0.136,2886749309,5666605358,4360315,3794626,10,10,48.9,68.9,200000,4090.37,200000,71667836,51383300,3785557,7438860,38673462319,561336212,17350131,337705,28333,14433,21.8,358.34,256.92,18.93,37.19,193367,86.75,0,67541220410,8553354667,1.7,0.25,1.45,2.25,0.7,1.55,4.23,1.44,2.79,2.61,1.19,1.41,1.83,0.68,1.15
100.0,100.001043,100.000543,1472,95,200,626,102.61,152,34256618575,43907362806,0.2198,2937562225,6188368659,4402418,3724211,10,10,24.45,44.45,200000,8180.71,200000,72428911,55214758,3728825,7659901,21696921207,488144476,19896636,219536,30941,14687,22.01,362.14,276.07,18.64,38.3,108484,99.48,0,43907448100,9125930884,3.01,0.4,2.61,3.85,1.15,2.71,6.7,2.16,4.54,4.34,1.96,2.38,2.83,1.01,1.82
200.0,200.001653,199.999653,1472,92,196,503,96.4,132,20519549536,32226839754,0.3633,3427299248,7808507323,5052065,4175505,10,10,12.22,32.22,200000,16361.39,200000,83032371,67761539,4201568,9128690,16722104145,518934848,24074010,161134,39042,17136,25.26,415.16,338.81,21.01,45.64,83610,120.37,0,32226919034,11235806571,5.49,0.69,4.8,6.73,1.88,4.85,10.79,3.29,7.51,7.43,3.3,4.12,4.37,1.47,2.9
300.0,299.997483,300.000483,1472,80,281,591,111.28,276,16225750849,28293397171,0.4265,3192869023,8491896198,4680086,3802378,10,10,8.15,28.15,200000,24541.68,200000,76099849,68873221,3803553,8990873,9790789411,347815186,24283403,141466,42459,15964,23.4,380.5,344.37,19.02,44.95,48953,121.42,0,28293480432,11684765221,7.11,0.7,6.41,8.07,1.99,6.08,12.83,3.48,9.35,8.41,3.63,4.78,4.82,1.47,3.35
400.0,400.004532,400.000532,1472,186,387,952,89.37,388,14003378462,26287950446,0.4673,2960403412,9153403236,4271288,3330360,10,10,6.11,26.11,200000,32722.88,200000,67966088,67445701,3192683,8322995,8614107545,329891635,24165767,131439,45767,14802,21.36,339.83,337.23,15.96,41.61,43070,120.83,0,26288029030,12113806648,8.58,0.74,7.84,9.21,1.88,7.33,14.18,3.34,10.84,9.43,4.07,5.36,4.63,1.22,3.41
500.0,500.00342,499.99592,1472,350,588,900,76.66,581,12993780791,25084660622,0.482,2342851618,9646526445,3416178,2543842,10,10,4.89,24.89,200000,40903.42,200000,49415101,62536582,2350368,7469154,12552945164,504345671,22363674,125423,48232,11714,17.08,247.08,312.68,11.75,37.35,62764,111.82,0,25084742484,11989378063,9.47,0.56,8.91,9.74,1.46,8.27,15.77,3.21,12.55,8.59,3.37,5.22,4.17,0.72,3.45
600.0,599.995158,600.001157,1472,546,746,934,50.71,746,11856694130,24285079194,0.5118,1958419709,10373338891,2913676,2110758,10,10,4.07,24.07,200000,49083.37,200000,36511905,59920363,1939948,7232217,12161614897,505161647,20686884,121425,51866,9792,14.57,182.56,299.6,9.7,36.16,60808,103.43,0,24285154742,12331758600,10.52,0.3,10.22,10.77,1.44,9.33,16.95,2.88,14.07,7.75,2.7,5.04,4.73,0.72,4.02
700.0,700.005965,699.998965,1472,672,767,1038,38.96,765,10831768673,23811975641,0.5451,1689709771,11186969454,2551220,1810205,10,10,3.49,23.49,200000,57264.89,200000,28551047,59862572,1661821,7305069,11865872089,505091030,20001046,119059,55934,8448,12.76,142.76,299.31,8.31,36.53,59329,100.01,0,23812059997,12876679225,11.83,0.16,11.67,12.04,1.49,10.55,17.7,2.62,15.09,7.49,2.25,5.24,4.94,0.56,4.39
800.0,799.997416,800.009416,1472,700,759,853,22.56,758,9770779065,23395586066,0.5824,1496595418,12022026619,2197139,1604003,10,10,3.06,23.06,200000,65444.81,200000,27038447,61292783,1483616,7655182,11566096895,501652148,20631818,116977,60110,7482,10.99,135.19,306.46,7.42,38.28,57830,103.16,0,23395668465,13518622037,13.45,0.17,13.28,12.7,1.23,11.47,18.58,2.23,16.35,7.43,2.1,5.33,5.55,0.64,4.9
900.0,900.014921,900.001421,1472,726,769,840,14.42,768,8874256014,23067095579,0.6153,1211406635,12874383669,1739528,1314052,10,10,2.72,22.72,200000,73626.88,200000,23394020,61625325,1264805,7888216,11372202885,500616434,20113286,115335,64371,6057,8.7,116.97,308.13,6.32,39.44,56861,100.57,0,23067174992,14085790304,15.08,0.18,14.9,13.16,0.84,12.31,19.31,1.79,17.52,7.08,1.68,5.4,6.37,0.74,5.63
1000.0,956.999761,999.993921,1472,1324,1370,1467,9.0,1375,8303196468,22879590514,0.6371,1091250865,13375718154,1546419,1185844,10,10,2.55,22.55,200000,78288.59,200000,21386569,62954638,1160923,8089995,11224864095,497674040,19860956,114397,66878,5456,7.73,106.93,314.77,5.8,40.45,56124,99.3,0,22879673335,14466969019,16.09,0.18,15.91,13.62,0.69,12.93,19.75,1.57,18.17,6.99,1.54,5.45,6.71,0.76,5.95
