Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,45,144,355,17.89,151,248206854073,255779070479,0.0296,2366414632,4523466720,3758740,3310595,10,10,244.48,264.48,200000,818.08,200000,57744752,41239633,3015526,5956143,182592732237,690395636,14345210,1278895,22617,11832,18.79,288.72,206.2,15.08,29.78,912963,71.73,0,255779156135,6889881352,0.35,0.06,0.3,0.47,0.15,0.32,0.9,0.31,0.59,0.55,0.25,0.29,0.39,0.15,0.24
20.0,20.000346,20.000346,1472,25,130,487,20.86,118,129942228607,138026611127,0.0586,2551182351,4879393703,3930664,3452948,10,10,122.24,142.24,200000,1636.15,200000,63087873,44647595,3346951,6465846,93902615369,660180058,14941569,690133,24396,12755,19.65,315.44,223.24,16.73,32.33,469513,74.71,0,138026696359,7430576054,0.7,0.11,0.59,0.93,0.29,0.64,1.83,0.63,1.2,1.08,0.5,0.58,0.8,0.3,0.5
50.0,50.000666,50.000666,1472,11,125,407,13.86,124,57993865851,67543625283,0.1414,3066216487,5859050122,4569273,3997577,10,10,48.9,68.9,200000,4090.37,200000,75376039,53627754,3964262,7797709,42736266568,620306992,17562222,337718,29295,15331,22.85,376.88,268.14,19.82,38.99,213681,87.81,0,67543709093,8925266609,1.73,0.26,1.47,2.33,0.74,1.6,4.39,1.52,2.87,2.73,1.26,1.48,1.97,0.75,1.23
100.0,100.000672,100.000672,1472,77,172,520,92.47,124,33771675471,43912326608,0.2309,3092818858,6440326426,4641735,3972385,10,10,24.45,44.45,200000,8180.68,200000,77358699,57981687,4009947,8170389,25676091225,577667974,20467160,219561,32201,15464,23.21,386.79,289.91,20.05,40.85,128380,102.34,0,43912409449,9533145284,3.14,0.43,2.7,3.99,1.19,2.8,7.02,2.29,4.73,4.51,2.04,2.47,3.0,1.07,1.93
200.0,200.001943,199.998943,1472,87,214,627,96.71,159,22142320652,32223849611,0.3129,2764329897,6978110316,4142415,3318979,10,10,12.22,32.22,200000,16361.42,200000,62828319,56695943,3159103,7227435,13463681540,417816880,20845816,161119,34890,13821,20.71,314.14,283.48,15.8,36.14,67318,104.23,0,32223930465,9742440213,4.7,0.45,4.25,5.86,1.53,4.33,9.85,2.77,7.08,6.42,2.77,3.65,3.35,1.04,2.3
300.0,300.009042,300.001542,1472,112,275,620,112.47,260,16939618296,28273405076,0.4009,2875845964,8105023909,4273733,3427507,10,10,8.15,28.15,200000,24542.62,200000,66021927,63900077,3312186,8213432,14537055626,516430790,22192288,141367,40525,14379,21.37,330.11,319.5,16.56,41.07,72685,110.96,0,28273488194,10980869873,6.61,0.54,6.07,7.61,1.85,5.77,12.55,3.31,9.24,7.68,3.2,4.48,4.32,1.26,3.06
400.0,400.004261,400.002261,1472,155,362,895,85.8,373,14505517071,26272000337,0.4479,2712995265,8860427455,4051957,3045356,10,10,6.11,26.11,200000,32722.86,200000,57943793,63185238,2815092,7778352,13230540442,506685563,23157035,131360,44302,13564,20.26,289.72,315.93,14.08,38.89,66152,115.79,0,26272083397,11573422720,7.94,0.51,7.44,8.97,1.89,7.09,14.17,3.27,10.9,8.78,3.68,5.1,4.13,0.96,3.17
500.0,500.009711,499.99221,1472,317,547,966,72.24,537,13201258519,25063957704,0.4733,2266414442,9493915404,3336813,2463818,10,10,4.89,24.89,200000,40903.94,200000,46231809,61025339,2269498,7336270,12689721070,509842242,21806533,125319,47469,11332,16.68,231.16,305.13,11.35,36.68,63448,109.03,0,25064042346,11760329846,9.24,0.44,8.8,9.48,1.49,7.98,15.63,3.18,12.45,8.17,3.08,5.09,4.34,0.83,3.51
600.0,600.006164,600.003163,1472,507,744,919,56.4,744,11882331286,24266143283,0.5103,1962461690,10324690163,2915555,2117968,10,10,4.07,24.07,200000,49084.27,200000,36811419,59341881,1925111,7223447,12181465350,505987754,20858869,121330,51623,9812,14.58,184.06,296.71,9.63,36.12,60907,104.29,0,24266229568,12287151853,10.55,0.32,10.23,10.6,1.43,9.17,16.91,2.87,14.04,7.76,2.72,5.04,4.75,0.73,4.02
700.0,699.994522,699.998022,1472,655,766,902,37.92,765,10907150312,23813207638,0.542,1673335882,11129210137,2528832,1791498,10,10,3.49,23.49,200000,57263.95,200000,28365335,59209010,1646543,7234642,11918424224,507326768,19849059,119066,55646,8366,12.64,141.83,296.05,8.23,36.17,59592,99.25,0,23813295479,12802546019,11.85,0.16,11.69,11.78,1.46,10.32,17.67,2.59,15.07,7.45,2.24,5.22,4.94,0.56,4.38
