Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,14,150,4236,27.37,151,248326782686,255780252148,0.0291,2318192914,4429779099,3746119,3301117,10,10,244.48,264.48,200000,818.08,200000,47274431,43505058,2795698,5916091,182859750413,691405250,11747254,1278901,22148,11590,18.73,236.37,217.53,13.98,29.58,914298,58.74,0,255780333735,6747972013,0.35,0.05,0.3,0.46,0.14,0.31,0.9,0.3,0.59,0.52,0.25,0.28,0.37,0.15,0.22
20.0,20.000342,20.000342,1472,14,143,289,16.88,151,130113149424,138027727728,0.0573,2512704107,4767039685,3900414,3427315,10,10,122.24,142.24,200000,1636.15,200000,51609742,46973241,3077921,6443079,94221821989,662424118,11966339,690138,23835,12563,19.5,258.05,234.87,15.39,32.22,471109,59.83,0,138027810636,7279743792,0.72,0.11,0.61,0.93,0.29,0.63,1.79,0.61,1.18,1.06,0.5,0.56,0.75,0.3,0.45
50.0,50.00065,50.00065,1472,19,144,698,26.21,138,58437311999,67537662881,0.1347,2915391855,5581287206,4426306,3822437,10,10,48.9,68.9,200000,4090.37,200000,58462852,54186667,3431016,7369312,38959901869,565493806,14354455,337688,27906,14576,22.13,292.31,270.93,17.16,36.85,194799,71.77,0,67537745766,8496679061,1.69,0.25,1.44,2.22,0.7,1.52,4.32,1.45,2.86,2.55,1.2,1.35,1.76,0.7,1.06
100.0,100.001137,100.000637,1472,82,185,750,95.66,138,34091875432,43914398453,0.2237,3056958986,6245823843,4570316,3861819,10,10,24.45,44.45,200000,8180.72,200000,60881421,59605364,3533190,7874682,21824554380,491016263,16754080,219571,31229,15284,22.85,304.41,298.03,17.67,39.37,109122,83.77,0,43914480199,9302782829,3.09,0.41,2.67,3.97,1.22,2.75,6.91,2.23,4.67,4.47,2.07,2.4,2.69,1.01,1.68
200.0,200.004194,199.999194,1472,48,197,546,100.28,131,20424377681,32223474330,0.3662,3505478876,7764968010,5177673,4330631,10,10,12.22,32.22,200000,16361.6,200000,70950769,73795305,4056069,9429577,16942365766,525772732,19872206,161117,38824,17527,25.89,354.75,368.98,20.28,47.15,84711,99.36,0,32223553936,11270446886,5.72,0.71,5.01,6.78,1.95,4.83,10.76,3.36,7.4,7.29,3.29,4.0,4.38,1.56,2.81
300.0,300.010036,300.002535,1472,98,278,603,112.39,267,16947864781,28291096652,0.4009,2933343214,8076342985,4351183,3468895,10,10,8.15,28.15,200000,24542.71,200000,54319616,67557842,3155329,8396675,14760501871,524369250,19624947,141455,40381,14666,21.76,271.6,337.79,15.78,41.98,73802,98.12,0,28291182477,11009686199,6.73,0.56,6.16,7.69,1.87,5.82,12.51,3.29,9.22,7.78,3.36,4.42,4.15,1.27,2.88
400.0,399.998232,400.000232,1472,161,372,653,92.36,379,14572972713,26290266392,0.4457,2724652084,8780760118,4072072,3078546,10,10,6.11,26.11,200000,32722.37,200000,47168124,66563322,2787967,8191051,9173776519,351323798,20051279,131451,43903,13623,20.36,235.84,332.82,13.94,40.96,45868,100.26,0,26290351637,11505412202,8.03,0.51,7.52,9.06,1.96,7.1,13.96,3.27,10.69,8.52,3.59,4.93,4.15,1.02,3.12
500.0,500.005199,499.997699,1472,273,451,933,73.08,446,13357922592,25086713700,0.4675,2232941195,9390818319,3333228,2419959,10,10,4.89,24.89,200000,40903.57,200000,35686132,61782982,2119259,7499321,8650512943,347556031,19074221,125433,46954,11164,16.67,178.43,308.91,10.6,37.5,43252,95.37,0,25086794685,11623759514,9.06,0.36,8.7,9.51,1.56,7.95,15.38,3.04,12.35,7.9,2.99,4.92,4.42,0.94,3.48
600.0,599.990878,599.999878,1472,512,745,909,55.67,745,11914735932,24284542400,0.5094,1973583899,10301248114,2922023,2127627,10,10,4.07,24.07,200000,49083.02,200000,30329684,61663780,1912919,7614960,12324215989,511915053,18823394,121422,51506,9867,14.61,151.65,308.32,9.56,38.07,61621,94.12,0,24284626308,12274832013,10.58,0.32,10.26,10.62,1.43,9.19,16.89,2.87,14.02,7.68,2.74,4.94,4.7,0.74,3.96
700.0,700.00352,699.99302,1472,661,760,898,37.18,761,10874514291,23808391055,0.5432,1688427246,11143123769,2562154,1809787,10,10,3.49,23.49,200000,57264.69,200000,23875561,60724097,1614225,7540282,11997509566,510694138,18276264,119041,55715,8442,12.81,119.38,303.62,8.07,37.7,59987,91.38,0,23808472341,12831551015,11.84,0.16,11.68,12.01,1.5,10.51,17.63,2.58,15.05,7.5,2.29,5.2,4.85,0.54,4.31
800.0,800.006249,800.006249,1472,694,766,867,24.31,765,9850027881,23390983300,0.5789,1494177652,11941783568,2200838,1605842,10,10,3.06,23.06,200000,65445.54,200000,21911628,61831150,1420012,7947372,11713595783,508050308,18917271,116954,59708,7470,11.0,109.56,309.16,7.1,39.74,58567,94.59,0,23391065718,13435961220,13.46,0.17,13.28,12.51,1.23,11.28,18.57,2.22,16.35,7.37,2.11,5.26,5.48,0.63,4.84
900.0,900.015436,899.997436,1472,703,769,1307,15.68,768,8946174163,23065437762,0.6121,1213507169,12799541836,1745210,1318654,10,10,2.72,22.72,200000,73626.92,200000,18876323,62308104,1158692,8113842,11502201707,506339155,18770525,115327,63997,6067,8.73,94.38,311.54,5.79,40.57,57511,93.85,0,23065517775,14013049005,15.12,0.18,14.94,12.92,0.85,12.07,19.32,1.8,17.52,7.03,1.69,5.34,6.31,0.74,5.58
1000.0,957.279067,999.994132,1472,1337,1368,1611,8.77,1374,8473476628,23039683284,0.6322,1127197040,13325131463,1605971,1237136,10,10,2.55,22.55,200000,78311.44,200000,18250936,63766752,1101238,8310154,11430397065,506803454,18768458,115198,66625,5635,8.03,91.25,318.83,5.51,41.55,57151,93.84,0,23039762096,14452328503,16.03,0.19,15.84,13.3,0.72,12.58,19.7,1.6,18.1,6.97,1.57,5.4,6.65,0.78,5.87
