Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255965815332,6875992016,2330005646,4545986370,3708350,3264736,2.69,0.91,1.78
System Total 20Mb/s,138013080975,7520305717,2565905705,4954400012,3935928,3460368,5.45,1.86,3.59
System Total 50Mb/s,67518970058,8043719848,2673621728,5370098120,4009692,3412825,11.91,3.96,7.95
System Total 100Mb/s,43896098508,8793310667,2759967424,6033343243,4149985,3517175,20.03,6.29,13.74
System Total 200Mb/s,32223220982,11040844896,3322734791,7718110105,4914874,4038815,34.26,10.31,23.95
System Total 300Mb/s,28275688155,11503319142,3106420776,8396898366,4559978,3649813,40.68,10.99,29.7
System Total 400Mb/s,26270140668,11699307738,2755542224,8943765514,4041748,3103252,44.53,10.49,34.05
System Total 500Mb/s,25087520310,11871444093,2298810457,9572633636,3353925,2487363,47.32,9.16,38.16
System Total 600Mb/s,24276594124,12307060441,1952442572,10354617869,2907037,2107043,50.7,8.04,42.65
System Total 700Mb/s,23814847753,12893430337,1713435133,11179995204,2592106,1824077,54.14,7.19,46.95
System Total 800Mb/s,23393601533,13422010641,1475072520,11946938121,2160564,1585752,57.37,6.31,51.07
System Total 900Mb/s,23064841939,14006290720,1200596052,12805694668,1723588,1305405,60.73,5.21,55.52
System Total 1000Mb/s,22963545529,14448855526,1103464754,13345390772,1570857,1208166,62.92,4.81,58.12

TEST 1: 10Mb/s
CORE 0 TOTAL,255965815332,6875992016,2330005646,4545986370,3708350,3264736,2.69,0.91,1.78
serial_driver,255965815332,35272,2976,32296,2,2,0.0,0.0,0.0
serial_virt_tx,255965815332,13259,4140,9119,2,2,0.0,0.0,0.0
ethernet_driver,255965815332,2328485710,780875558,1547610152,965322,957896,0.91,0.31,0.6
net_virt_tx,255965815332,969641547,379762492,589879055,377128,377128,0.38,0.15,0.23
net_virt_rx,255965815332,1380876551,638190870,742685681,863452,645751,0.54,0.25,0.29
client0,255965815332,927557641,137402840,790154801,221254,221186,0.36,0.05,0.31
client0_net_copier,255965815332,1178496895,371859823,806637072,643120,428337,0.46,0.15,0.32
client1,255965815332,17140780,5616940,11523840,9684,9684,0.01,0.0,0.0
client1_net_copier,255965815332,2408641,688937,1719704,744,497,0.0,0.0,0.0
timer_driver,255965815332,71335720,15601070,55734650,27563,24240,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138013080975,7520305717,2565905705,4954400012,3935928,3460368,5.45,1.86,3.59
serial_driver,138013080975,32936,2898,30038,2,2,0.0,0.0,0.0
serial_virt_tx,138013080975,14515,3940,10575,2,2,0.0,0.0,0.0
ethernet_driver,138013080975,2561165216,866533776,1694631440,1070684,1065955,1.86,0.63,1.23
net_virt_tx,138013080975,1095182075,432131267,663050808,430375,430375,0.79,0.31,0.48
net_virt_rx,138013080975,1505684635,697803819,807880816,945064,710978,1.09,0.51,0.59
client0,138013080975,1016601250,149673649,866927601,242104,241906,0.74,0.11,0.63
client0_net_copier,138013080975,1289190766,408026013,881164753,703230,468943,0.93,0.3,0.64
client1,138013080975,10923942,3226483,7697459,4995,4995,0.01,0.0,0.01
client1_net_copier,138013080975,987929,269681,718248,279,186,0.0,0.0,0.0
timer_driver,138013080975,40522453,8234179,32288274,15394,13266,0.03,0.01,0.02

TEST 3: 50Mb/s
CORE 0 TOTAL,67518970058,8043719848,2673621728,5370098120,4009692,3412825,11.91,3.96,7.95
serial_driver,67518970058,33435,3003,30432,2,2,0.0,0.0,0.0
serial_virt_tx,67518970058,12700,3777,8923,2,2,0.0,0.0,0.0
ethernet_driver,67518970058,2706942275,879739230,1827203045,1088350,1071368,4.01,1.3,2.71
net_virt_tx,67518970058,1032901696,389711966,643189730,380945,380945,1.53,0.58,0.95
net_virt_rx,67518970058,1709155217,788031037,921124180,1073811,780095,2.53,1.17,1.36
client0,67518970058,1110361698,151451865,958909833,243317,243150,1.64,0.22,1.42
client0_net_copier,67518970058,1451124172,455619806,995504366,807268,522432,2.15,0.67,1.47
client1,67518970058,8417060,1947187,6469873,2578,2578,0.01,0.0,0.01
client1_net_copier,67518970058,394997,108241,286756,104,70,0.0,0.0,0.0
timer_driver,67518970058,24376598,7005616,17370982,7609,6500,0.04,0.01,0.03

TEST 4: 100Mb/s
CORE 0 TOTAL,43896098508,8793310667,2759967424,6033343243,4149985,3517175,20.03,6.29,13.74
serial_driver,43896098508,34575,2809,31766,2,2,0.0,0.0,0.0
serial_virt_tx,43896098508,12642,3789,8853,2,2,0.0,0.0,0.0
ethernet_driver,43896098508,2963502051,916593694,2046908357,1153781,1114471,6.75,2.09,4.66
net_virt_tx,43896098508,1114631542,405566478,709065064,396425,396425,2.54,0.92,1.62
net_virt_rx,43896098508,1801988608,806769223,995219385,1107514,807439,4.11,1.84,2.27
client0,43896098508,1292459784,155244427,1137215357,249072,248906,2.94,0.35,2.59
client0_net_copier,43896098508,1596442400,468783804,1127658596,824758,537047,3.64,1.07,2.57
client1,43896098508,6568473,1607493,4960980,1734,1734,0.01,0.0,0.01
client1_net_copier,43896098508,322585,95510,227075,85,57,0.0,0.0,0.0
timer_driver,43896098508,17348007,5300197,12047810,4994,4204,0.04,0.01,0.03

TEST 5: 200Mb/s
CORE 0 TOTAL,32223220982,11040844896,3322734791,7718110105,4914874,4038815,34.26,10.31,23.95
serial_driver,32223220982,33056,2953,30103,2,2,0.0,0.0,0.0
serial_virt_tx,32223220982,12626,3710,8916,2,2,0.0,0.0,0.0
ethernet_driver,32223220982,3457675044,1029394469,2428280575,1307813,1206001,10.73,3.19,7.54
net_virt_tx,32223220982,1333052727,456898121,876154606,440544,440522,4.14,1.42,2.72
net_virt_rx,32223220982,2328210874,1031771820,1296439054,1428006,1034741,7.23,3.2,4.02
client0,32223220982,1770208424,199642600,1570565824,318018,317846,5.49,0.62,4.87
client0_net_copier,32223220982,2133128792,599900392,1533228400,1055082,685094,6.62,1.86,4.76
client1,32223220982,4683087,1006536,3676551,1285,1283,0.01,0.0,0.01
client1_net_copier,32223220982,230032,68836,161196,59,40,0.0,0.0,0.0
timer_driver,32223220982,13610234,4045354,9564880,4103,3214,0.04,0.01,0.03

TEST 6: 300Mb/s
CORE 0 TOTAL,28275688155,11503319142,3106420776,8396898366,4559978,3649813,40.68,10.99,29.7
serial_driver,28275688155,32684,3148,29536,2,2,0.0,0.0,0.0
serial_virt_tx,28275688155,12897,4022,8875,2,2,0.0,0.0,0.0
ethernet_driver,28275688155,3627484858,962646844,2664838014,1261262,1105202,12.83,3.4,9.42
net_virt_tx,28275688155,1289532872,402463623,887069249,383891,382230,4.56,1.42,3.14
net_virt_rx,28275688155,2322739398,1003261888,1319477510,1380807,994606,8.21,3.55,4.67
client0,28275688155,2004823578,182608691,1822214887,287993,287855,7.09,0.65,6.44
client0_net_copier,28275688155,2241908886,550902108,1691006778,982619,624587,7.93,1.95,5.98
client1,28275688155,4130584,776985,3353599,1106,1104,0.01,0.0,0.01
client1_net_copier,28275688155,269145,82864,186281,69,47,0.0,0.0,0.0
timer_driver,28275688155,12384240,3670603,8713637,3730,2883,0.04,0.01,0.03

TEST 7: 400Mb/s
CORE 0 TOTAL,26270140668,11699307738,2755542224,8943765514,4041748,3103252,44.53,10.49,34.05
serial_driver,26270140668,32565,2872,29693,2,2,0.0,0.0,0.0
serial_virt_tx,26270140668,14047,3408,10639,2,2,0.0,0.0,0.0
ethernet_driver,26270140668,3724173596,857832682,2866340914,1141544,977345,14.18,3.27,10.91
net_virt_tx,26270140668,1151004368,290616614,860387754,274946,270537,4.38,1.11,3.28
net_virt_rx,26270140668,2284635433,960598468,1324036965,1326089,926269,8.7,3.66,5.04
client0,26270140668,2179590391,155879148,2023711243,240741,240619,8.3,0.59,7.7
client0_net_copier,26270140668,2344004623,486356018,1857648605,901931,545421,8.92,1.85,7.07
client1,26270140668,3971429,747773,3223656,1050,1041,0.02,0.0,0.01
client1_net_copier,26270140668,313938,95785,218153,85,57,0.0,0.0,0.0
timer_driver,26270140668,11567348,3409456,8157892,3530,2703,0.04,0.01,0.03

TEST 8: 500Mb/s
CORE 0 TOTAL,25087520310,11871444093,2298810457,9572633636,3353925,2487363,47.32,9.16,38.16
serial_driver,25087520310,32428,2858,29570,2,2,0.0,0.0,0.0
serial_virt_tx,25087520310,12429,3770,8659,2,2,0.0,0.0,0.0
ethernet_driver,25087520310,3949378874,797125340,3152253534,1070548,899286,15.74,3.18,12.57
net_virt_tx,25087520310,1069745316,202404064,867341252,194724,193365,4.26,0.81,3.46
net_virt_rx,25087520310,2090375262,806288423,1284086839,1115242,750665,8.33,3.21,5.12
client0,25087520310,2354482832,122642654,2231840178,179681,176999,9.39,0.49,8.9
client0_net_copier,25087520310,2391669005,365994396,2025674609,724085,400059,9.53,1.46,8.07
client1,25087520310,3825132,767851,3057281,954,948,0.02,0.0,0.01
client1_net_copier,25087520310,329498,104025,225473,93,67,0.0,0.0,0.0
timer_driver,25087520310,11593317,3477076,8116241,3337,2535,0.05,0.01,0.03

TEST 9: 600Mb/s
CORE 0 TOTAL,24276594124,12307060441,1952442572,10354617869,2907037,2107043,50.7,8.04,42.65
serial_driver,24276594124,34704,4678,30026,2,2,0.0,0.0,0.0
serial_virt_tx,24276594124,12855,4127,8728,2,2,0.0,0.0,0.0
ethernet_driver,24276594124,4113422896,689007226,3424415670,935858,786977,16.94,2.84,14.11
net_virt_tx,24276594124,1147648677,174512299,973136378,174887,160503,4.73,0.72,4.01
