Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255778800187,7668000018,2304669022,5363330996,3679167,3249653,3.0,0.9,2.1
System Total 20Mb/s,138029824744,8808061296,2683945565,6124115731,4133825,3663248,6.38,1.94,4.44
System Total 50Mb/s,67537026139,9797791023,2979637769,6818153254,4390527,3799020,14.51,4.41,10.1
System Total 100Mb/s,43912780404,9140527891,2558461944,6582065947,3812975,3231204,20.82,5.83,14.99
System Total 200Mb/s,32224483930,11461724008,3051711917,8410012091,4484471,3700195,35.57,9.47,26.1
System Total 300Mb/s,28289915526,10632765457,2387198197,8245567260,3575439,2795036,37.59,8.44,29.15
System Total 400Mb/s,26288503589,11771081396,2456895139,9314186257,3612865,2725481,44.78,9.35,35.43
System Total 500Mb/s,25084244047,12251972294,2213025933,10038946361,3214642,2406734,48.84,8.82,40.02
System Total 600Mb/s,24283163304,12462448003,1799006179,10663441824,2709309,1941146,51.32,7.41,43.91
System Total 700Mb/s,23813449657,13113103108,1624136091,11488967017,2439645,1729690,55.07,6.82,48.25
System Total 800Mb/s,23395668589,13687316223,1398539910,12288776313,2032623,1506815,58.5,5.98,52.53
System Total 900Mb/s,23057650062,14166691723,1128165950,13038525773,1604721,1226294,61.44,4.89,56.55
System Total 1000Mb/s,22915862864,14631573126,1033403240,13598169886,1460251,1121524,63.85,4.51,59.34

TEST 1: 10Mb/s
CORE 0 TOTAL,255778800187,7668000018,2304669022,5363330996,3679167,3249653,3.0,0.9,2.1
serial_driver,255778800187,33610,2782,30828,2,2,0.0,0.0,0.0
serial_virt_tx,255778800187,14084,3926,10158,2,2,0.0,0.0,0.0
ethernet_driver,255778800187,2579065057,780469991,1798595066,964677,960803,1.01,0.31,0.7
net_virt_tx,255778800187,1131059132,378050857,753008275,367700,367700,0.44,0.15,0.29
net_virt_rx,255778800187,1579292623,630185490,949107133,844310,632634,0.62,0.25,0.37
