Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255786933882,6533672067,2381981042,4151691025,3807081,3359381,2.55,0.93,1.62
System Total 20Mb/s,138206323236,6631267392,2381681347,4249586045,3703217,3219337,4.8,1.72,3.07
System Total 50Mb/s,67539607048,8301627841,3004342242,5297285599,4577573,3976949,12.29,4.45,7.84
System Total 100Mb/s,43911127619,8820883748,3014029598,5806854150,4527490,3846764,20.09,6.86,13.22
System Total 200Mb/s,32227177970,9597217211,2893190978,6704026233,4315497,3526165,29.78,8.98,20.8
System Total 300Mb/s,28283784793,10517334074,2825565231,7691768843,4258828,3325350,37.19,9.99,27.19
System Total 400Mb/s,26269129071,11496829462,2836595700,8660233762,4230067,3198471,43.77,10.8,32.97
System Total 500Mb/s,25087609055,11504590412,2256220533,9248369879,3399435,2444890,45.86,8.99,36.86
System Total 600Mb/s,24262928688,12215160971,1998803235,10216357736,2953359,2158144,50.34,8.24,42.11
System Total 700Mb/s,23814572315,12838875142,1709517322,11129357820,2595423,1838340,53.91,7.18,46.73
System Total 800Mb/s,23392490991,13505188837,1532785040,11972403797,2276549,1639053,57.73,6.55,51.18
System Total 900Mb/s,23070007411,14094629195,1252465154,12842164041,1806243,1359745,61.1,5.43,55.67
System Total 1000Mb/s,22885160661,14473650263,1132045766,13341604497,1606365,1238425,63.24,4.95,58.3

TEST 1: 10Mb/s
CORE 0 TOTAL,255786933882,6533672067,2381981042,4151691025,3807081,3359381,2.55,0.93,1.62
serial_driver,255786933882,32069,2853,29216,2,2,0.0,0.0,0.0
serial_virt_tx,255786933882,11426,3705,7721,2,2,0.0,0.0,0.0
ethernet_driver,255786933882,2220922829,803053711,1417869118,998283,991602,0.87,0.31,0.55
net_virt_tx,255786933882,917127721,389905286,527222435,393695,393695,0.36,0.15,0.21
net_virt_rx,255786933882,1293564706,645354835,648209871,874017,654529,0.51,0.25,0.25
client0,255786933882,865492152,142039895,723452257,226858,226802,0.34,0.06,0.28
client0_net_copier,255786933882,1147677194,378551791,769125403,653138,435542,0.45,0.15,0.3
client1,255786933882,17736779,6276696,11460083,9977,9976,0.01,0.0,0.0
client1_net_copier,255786933882,3442687,1205651,2237036,1585,1058,0.0,0.0,0.0
timer_driver,255786933882,67664504,15586619,52077885,27496,24213,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138206323236,6631267392,2381681347,4249586045,3703217,3219337,4.8,1.72,3.07
serial_driver,138206323236,32337,2908,29429,2,2,0.0,0.0,0.0
serial_virt_tx,138206323236,12662,4698,7964,3,2,0.0,0.0,0.0
ethernet_driver,138206323236,2243607180,797806736,1445800444,990456,984168,1.62,0.58,1.05
net_virt_tx,138206323236,878166337,363350127,514816210,364553,364553,0.64,0.26,0.37
net_virt_rx,138206323236,1356455624,675461796,680993828,919986,678904,0.98,0.49,0.49
client0,138206323236,898295335,138695652,759599683,222744,222654,0.65,0.1,0.55
client0_net_copier,138206323236,1203725824,393473590,810252234,686499,452149,0.87,0.28,0.59
client1,138206323236,11462139,3651432,7810707,5269,5267,0.01,0.0,0.01
client1_net_copier,138206323236,1457699,482014,975685,599,399,0.0,0.0,0.0
timer_driver,138206323236,38052255,8752394,29299861,15026,13199,0.03,0.01,0.02

TEST 3: 50Mb/s
CORE 0 TOTAL,67539607048,8301627841,3004342242,5297285599,4577573,3976949,12.29,4.45,7.84
serial_driver,67539607048,31497,2917,28580,2,2,0.0,0.0,0.0
serial_virt_tx,67539607048,11558,4037,7521,2,2,0.0,0.0,0.0
ethernet_driver,67539607048,2804711933,1007692491,1797019442,1273395,1248933,4.15,1.49,2.66
net_virt_tx,67539607048,1160334931,486384919,673950012,491990,491990,1.72,0.72,1.0
net_virt_rx,67539607048,1676103921,829943342,846160579,1137236,852099,2.48,1.23,1.25
client0,67539607048,1126505776,179064061,947441715,285543,285359,1.67,0.27,1.4
client0_net_copier,67539607048,1501087419,491690637,1009396782,852158,568109,2.22,0.73,1.49
client1,67539607048,8537691,2129174,6408517,2728,2728,0.01,0.0,0.01
client1_net_copier,67539607048,1164299,397193,767106,496,333,0.0,0.0,0.0
timer_driver,67539607048,23138816,7033471,16105345,7580,6494,0.03,0.01,0.02

TEST 4: 100Mb/s
CORE 0 TOTAL,43911127619,8820883748,3014029598,5806854150,4527490,3846764,20.09,6.86,13.22
serial_driver,43911127619,32840,2826,30014,2,2,0.0,0.0,0.0
serial_virt_tx,43911127619,11805,4181,7624,2,2,0.0,0.0,0.0
ethernet_driver,43911127619,2917795489,987752718,1930042771,1262372,1202034,6.64,2.25,4.4
net_virt_tx,43911127619,1159884426,467900169,691984257,469383,469298,2.64,1.07,1.58
net_virt_rx,43911127619,1797534593,864636356,932898237,1201519,887060,4.09,1.97,2.12
