Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255788137399,6824344372,2408466390,4415877982,3851736,3408630,2.67,0.94,1.73
System Total 20Mb/s,138031161772,6786321296,2360655458,4425665838,3607023,3127467,4.92,1.71,3.21
System Total 50Mb/s,67538729192,8309794614,2910237618,5399556996,4329169,3742224,12.3,4.31,7.99
System Total 100Mb/s,43891782926,9104178887,3020122028,6084056859,4542679,3868132,20.74,6.88,13.86
System Total 200Mb/s,32223560305,10823757325,3376482631,7447274694,4989199,4115272,33.59,10.48,23.11
System Total 300Mb/s,28289964652,10985858426,2977578641,8008279785,4416669,3547270,38.83,10.53,28.31
System Total 400Mb/s,26272189637,11781129495,2915692528,8865436967,4274991,3283268,44.84,11.1,33.74
System Total 500Mb/s,25086006153,11877147773,2377926888,9499220885,3471030,2576780,47.35,9.48,37.87
System Total 600Mb/s,24285889412,12280523314,2015977650,10264545664,2992599,2174429,50.57,8.3,42.27
System Total 700Mb/s,23814610008,12804186609,1709020660,11095165949,2595624,1833473,53.77,7.18,46.59
System Total 800Mb/s,23393044277,13428958374,1509426266,11919532108,2235380,1623271,57.41,6.45,50.95
System Total 900Mb/s,23066573127,13997594817,1233241206,12764353611,1776811,1341838,60.68,5.35,55.34
System Total 1000Mb/s,22897712459,14423194308,1121183690,13302010618,1597672,1232325,62.99,4.9,58.09

TEST 1: 10Mb/s
CORE 0 TOTAL,255788137399,6824344372,2408466390,4415877982,3851736,3408630,2.67,0.94,1.73
serial_driver,255788137399,31765,2750,29015,2,2,0.0,0.0,0.0
serial_virt_tx,255788137399,11551,3384,8167,2,2,0.0,0.0,0.0
ethernet_driver,255788137399,2344688487,822339121,1522349366,1020681,1017601,0.92,0.32,0.6
net_virt_tx,255788137399,966901959,399742747,567159212,400781,400781,0.38,0.16,0.22
net_virt_rx,255788137399,1341815963,646792165,695023798,869224,650212,0.52,0.25,0.27
client0,255788137399,908077631,140392078,767685553,224875,224800,0.36,0.05,0.3
client0_net_copier,255788137399,1174304783,377088505,797216278,649787,432460,0.46,0.15,0.31
client1,255788137399,16799643,5770574,11029069,9724,9724,0.01,0.0,0.0
client1_net_copier,255788137399,2000463,638670,1361793,800,534,0.0,0.0,0.0
timer_driver,255788137399,69712127,15696396,54015731,27557,24277,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138031161772,6786321296,2360655458,4425665838,3607023,3127467,4.92,1.71,3.21
serial_driver,138031161772,33413,2812,30601,2,2,0.0,0.0,0.0
serial_virt_tx,138031161772,12364,3811,8553,2,2,0.0,0.0,0.0
ethernet_driver,138031161772,2236163683,769726575,1466437108,949551,937555,1.62,0.56,1.06
net_virt_tx,138031161772,900438638,362130104,538308534,358780,358780,0.65,0.26,0.39
net_virt_rx,138031161772,1417343130,678919705,738423425,919151,683255,1.03,0.49,0.53
client0,138031161772,950768016,144444314,806323702,229887,229748,0.69,0.1,0.58
client0_net_copier,138031161772,1229279259,392810268,836468991,680052,450750,0.89,0.28,0.61
client1,138031161772,11392322,3486467,7905855,5194,5194,0.01,0.0,0.01
client1_net_copier,138031161772,1488238,482361,1005877,617,412,0.0,0.0,0.0
timer_driver,138031161772,39402233,8649041,30753192,15188,13210,0.03,0.01,0.02

TEST 3: 50Mb/s
CORE 0 TOTAL,67538729192,8309794614,2910237618,5399556996,4329169,3742224,12.3,4.31,7.99
serial_driver,67538729192,32666,2927,29739,2,2,0.0,0.0,0.0
serial_virt_tx,67538729192,12510,4213,8297,2,2,0.0,0.0,0.0
ethernet_driver,67538729192,2724309124,944433940,1779875184,1163612,1152295,4.03,1.4,2.64
net_virt_tx,67538729192,1113101143,448719368,664381775,445561,445561,1.65,0.66,0.98
net_virt_rx,67538729192,1749896576,840266919,909629657,1141544,852493,2.59,1.24,1.35
client0,67538729192,1157359115,173973749,983385366,277692,277516,1.71,0.26,1.46
client0_net_copier,67538729192,1532359677,493719965,1038639712,853546,568376,2.27,0.73,1.54
client1,67538729192,8393727,2092576,6301151,2656,2655,0.01,0.0,0.01
client1_net_copier,67538729192,718436,232570,485866,274,183,0.0,0.0,0.0
timer_driver,67538729192,23611640,6791391,16820249,7589,6476,0.03,0.01,0.02

TEST 4: 100Mb/s
CORE 0 TOTAL,43891782926,9104178887,3020122028,6084056859,4542679,3868132,20.74,6.88,13.86
serial_driver,43891782926,34560,3153,31407,2,2,0.0,0.0,0.0
serial_virt_tx,43891782926,13143,4379,8764,2,2,0.0,0.0,0.0
ethernet_driver,43891782926,2972980931,977495524,1995485407,1236411,1185617,6.77,2.23,4.55
net_virt_tx,43891782926,1176006960,453601259,722405701,449227,449211,2.68,1.03,1.65
net_virt_rx,43891782926,1878377613,882384528,995993085,1210292,899352,4.28,2.01,2.27
client0,43891782926,1354954872,182650461,1172304411,292136,291971,3.09,0.42,2.67
client0_net_copier,43891782926,1697967406,517041033,1180926373,898488,594285,3.87,1.18,2.69
client1,43891782926,6432779,1660659,4772120,1742,1742,0.01,0.0,0.01
