Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255970006773,6764252342,2302245007,4462007335,3681701,3234000,2.64,0.9,1.74
System Total 20Mb/s,138027890080,7053899092,2385953322,4667945770,3653971,3176579,5.11,1.73,3.38
System Total 50Mb/s,67541220410,8553354667,2886749309,5666605358,4360315,3794626,12.66,4.27,8.39
System Total 100Mb/s,43907448100,9125930884,2937562225,6188368659,4402418,3724211,20.78,6.69,14.09
System Total 200Mb/s,32226919034,11235806571,3427299248,7808507323,5052065,4175505,34.86,10.63,24.23
System Total 300Mb/s,28293480432,11684765221,3192869023,8491896198,4680086,3802378,41.3,11.28,30.01
System Total 400Mb/s,26288029030,12113806648,2960403412,9153403236,4271288,3330360,46.08,11.26,34.82
System Total 500Mb/s,25084742484,11989378063,2342851618,9646526445,3416178,2543842,47.8,9.34,38.46
System Total 600Mb/s,24285154742,12331758600,1958419709,10373338891,2913676,2110758,50.78,8.06,42.71
System Total 700Mb/s,23812059997,12876679225,1689709771,11186969454,2551220,1810205,54.08,7.1,46.98
System Total 800Mb/s,23395668465,13518622037,1496595418,12022026619,2197139,1604003,57.78,6.4,51.39
System Total 900Mb/s,23067174992,14085790304,1211406635,12874383669,1739528,1314052,61.06,5.25,55.81
System Total 1000Mb/s,22879673335,14466969019,1091250865,13375718154,1546419,1185844,63.23,4.77,58.46

TEST 1: 10Mb/s
CORE 0 TOTAL,255970006773,6764252342,2302245007,4462007335,3681701,3234000,2.64,0.9,1.74
serial_driver,255970006773,33919,2931,30988,2,2,0.0,0.0,0.0
serial_virt_tx,255970006773,13791,4061,9730,2,2,0.0,0.0,0.0
ethernet_driver,255970006773,2270716447,775723123,1494993324,953901,946224,0.89,0.3,0.58
net_virt_tx,255970006773,972011523,364917775,607093748,366012,366012,0.38,0.14,0.24
net_virt_rx,255970006773,1375544471,636207058,739337413,859623,639745,0.54,0.25,0.29
client0,255970006773,884503535,135495094,749008441,218866,218802,0.35,0.05,0.29
client0_net_copier,255970006773,1171565355,368034609,803530746,641353,424963,0.46,0.14,0.31
client1,255970006773,17620057,5620168,11999889,9820,9820,0.01,0.0,0.0
client1_net_copier,255970006773,2823012,909150,1913862,1180,790,0.0,0.0,0.0
timer_driver,255970006773,69420232,15331038,54089194,27480,24245,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138027890080,7053899092,2385953322,4667945770,3653971,3176579,5.11,1.73,3.38
serial_driver,138027890080,34070,3166,30904,2,2,0.0,0.0,0.0
serial_virt_tx,138027890080,13719,4262,9457,2,2,0.0,0.0,0.0
ethernet_driver,138027890080,2275553367,773219820,1502333547,937080,931492,1.65,0.56,1.09
net_virt_tx,138027890080,970316397,352271858,618044539,349939,349939,0.7,0.26,0.45
net_virt_rx,138027890080,1507598418,697521813,810076605,940248,705174,1.09,0.51,0.59
client0,138027890080,965519639,148299893,817219746,238868,238741,0.7,0.11,0.59
client0_net_copier,138027890080,1281850377,402222115,879628262,698606,464146,0.93,0.29,0.64
client1,138027890080,11787651,3423873,8363778,5261,5261,0.01,0.0,0.01
client1_net_copier,138027890080,1619032,507053,1111979,655,439,0.0,0.0,0.0
timer_driver,138027890080,39606422,8479469,31126953,15060,13181,0.03,0.01,0.02

TEST 3: 50Mb/s
CORE 0 TOTAL,67541220410,8553354667,2886749309,5666605358,4360315,3794626,12.66,4.27,8.39
serial_driver,67541220410,32481,2882,29599,2,2,0.0,0.0,0.0
serial_virt_tx,67541220410,13640,4103,9537,2,2,0.0,0.0,0.0
ethernet_driver,67541220410,2856894558,969936426,1886958132,1195904,1184068,4.23,1.44,2.79
net_virt_tx,67541220410,1235692875,457565068,778127807,458424,458424,1.83,0.68,1.15
net_virt_rx,67541220410,1759898361,806682009,953216352,1095287,820816,2.61,1.19,1.41
client0,67541220410,1149781340,171088056,978693284,274990,274811,1.7,0.25,1.45
client0_net_copier,67541220410,1516803661,472192317,1044611344,820276,546324,2.25,0.7,1.55
client1,67541220410,9124829,2116636,7008193,2679,2679,0.01,0.0,0.01
client1_net_copier,67541220410,829270,254648,574622,304,204,0.0,0.0,0.0
timer_driver,67541220410,24283652,6907164,17376488,7581,6482,0.04,0.01,0.03

TEST 4: 100Mb/s
CORE 0 TOTAL,43907448100,9125930884,2937562225,6188368659,4402418,3724211,20.78,6.69,14.09
serial_driver,43907448100,34400,2789,31611,2,2,0.0,0.0,0.0
serial_virt_tx,43907448100,13411,4073,9338,2,2,0.0,0.0,0.0
ethernet_driver,43907448100,2940402702,949010849,1991391853,1199480,1138071,6.7,2.16,4.54
net_virt_tx,43907448100,1243757980,444378591,799379389,441801,441664,2.83,1.01,1.82
net_virt_rx,43907448100,1903541124,858476741,1045064383,1188797,879667,4.34,1.96,2.38
client0,43907448100,1320545251,174981549,1145563702,279705,279532,3.01,0.4,2.61
client0_net_copier,43907448100,1691792891,503539064,1188253827,881649,581668,3.85,1.15,2.71
client1,43907448100,6808367,1479369,5328998,1784,1782,0.02,0.0,0.01
client1_net_copier,43907448100,676993,217324,459669,248,166,0.0,0.0,0.0
timer_driver,43907448100,18357765,5471876,12885889,5197,4293,0.04,0.01,0.03

TEST 5: 200Mb/s
CORE 0 TOTAL,32226919034,11235806571,3427299248,7808507323,5052065,4175505,34.86,10.63,24.23
serial_driver,32226919034,32536,3003,29533,2,2,0.0,0.0,0.0
serial_virt_tx,32226919034,12811,3486,9325,2,2,0.0,0.0,0.0
ethernet_driver,32226919034,3478037785,1058879712,2419158073,1335507,1242723,10.79,3.29,7.51
net_virt_tx,32226919034,1406744442,473116360,933628082,463563,463559,4.37,1.47,2.9
