Component,Core Cycles,System Cycles,Kernel Cycles,User Cycles,Kernel Entries,Schedules,Core CPU Util,Core Kernel CPU Util,Core User CPU Util
System Total 10Mb/s,255765180685,7209300647,2477892478,4731408169,3961697,3522281,2.82,0.97,1.85
System Total 20Mb/s,138030033181,7375004776,2515311088,4859693688,3866931,3392595,5.34,1.82,3.52
System Total 50Mb/s,67536592590,8411095794,2824253309,5586842485,4249779,3668883,12.45,4.18,8.27
System Total 100Mb/s,43906279981,9715614400,3175803054,6539811346,4731356,4042160,22.13,7.23,14.89
System Total 200Mb/s,32225763809,10941992168,3271485820,7670506348,4855765,4015265,33.95,10.15,23.8
System Total 300Mb/s,28292452855,11202677236,2969778643,8232898593,4400234,3528053,39.6,10.5,29.1
System Total 400Mb/s,26289526863,11671215557,2752593209,8918622348,4071554,3100574,44.39,10.47,33.92
System Total 500Mb/s,25086558240,11836481194,2285193311,9551287883,3337116,2483842,47.18,9.11,38.07
System Total 600Mb/s,24288559541,12234582521,1926655416,10307927105,2852981,2082074,50.37,7.93,42.44
System Total 700Mb/s,23817572387,12861025222,1700980403,11160044819,2569169,1816579,54.0,7.14,46.86
System Total 800Mb/s,23391568213,13466011149,1485705542,11980305607,2177502,1593129,57.57,6.35,51.22
System Total 900Mb/s,23058213146,14030309155,1205665436,12824643719,1731762,1309325,60.85,5.23,55.62
System Total 1000Mb/s,22982591159,14462586382,1112921912,13349664470,1581373,1215904,62.93,4.84,58.09

TEST 1: 10Mb/s
CORE 0 TOTAL,255765180685,7209300647,2477892478,4731408169,3961697,3522281,2.82,0.97,1.85
serial_driver,255765180685,32260,3045,29215,2,2,0.0,0.0,0.0
serial_virt_tx,255765180685,12830,3406,9424,2,2,0.0,0.0,0.0
ethernet_driver,255765180685,2512531290,867301534,1645229756,1069107,1067423,0.98,0.34,0.64
net_virt_tx,255765180685,1099767001,422558814,677208187,427553,427553,0.43,0.17,0.26
net_virt_rx,255765180685,1406892814,649094921,757797893,871680,654568,0.55,0.25,0.3
client0,255765180685,904456377,140993801,763462576,228348,228280,0.35,0.06,0.3
client0_net_copier,255765180685,1198619370,377020547,821598823,652554,435378,0.47,0.15,0.32
client1,255765180685,16481863,5430649,11051214,9572,9572,0.01,0.0,0.0
client1_net_copier,255765180685,1149781,311640,838141,315,210,0.0,0.0,0.0
timer_driver,255765180685,69357061,15174121,54182940,27463,24258,0.03,0.01,0.02

TEST 2: 20Mb/s
CORE 0 TOTAL,138030033181,7375004776,2515311088,4859693688,3866931,3392595,5.34,1.82,3.52
serial_driver,138030033181,32216,3018,29198,2,2,0.0,0.0,0.0
serial_virt_tx,138030033181,17559,5204,12355,3,2,0.0,0.0,0.0
ethernet_driver,138030033181,2500182510,854345847,1645836663,1047047,1044269,1.81,0.62,1.19
net_virt_tx,138030033181,1077929464,404323491,673605973,405857,405857,0.78,0.29,0.49
net_virt_rx,138030033181,1502011959,693857205,808154754,934873,699654,1.09,0.5,0.59
client0,138030033181,959123304,146399051,812724253,235850,235690,0.69,0.11,0.59
client0_net_copier,138030033181,1284143150,404563697,879579453,701217,467030,0.93,0.29,0.64
client1,138030033181,10988371,3324623,7663748,5033,5033,0.01,0.0,0.01
client1_net_copier,138030033181,675920,179351,496569,178,119,0.0,0.0,0.0
timer_driver,138030033181,39900323,8309601,31590722,15169,13276,0.03,0.01,0.02

TEST 3: 50Mb/s
CORE 0 TOTAL,67536592590,8411095794,2824253309,5586842485,4249779,3668883,12.45,4.18,8.27
serial_driver,67536592590,34488,2991,31497,2,2,0.0,0.0,0.0
serial_virt_tx,67536592590,13085,3637,9448,2,2,0.0,0.0,0.0
ethernet_driver,67536592590,2765962806,927300759,1838662047,1133425,1124191,4.1,1.37,2.72
net_virt_tx,67536592590,1152452083,418105542,734346541,415970,415969,1.71,0.62,1.09
net_virt_rx,67536592590,1792214756,822794797,969419959,1116491,829782,2.65,1.22,1.44
client0,67536592590,1139982158,168917491,971064667,272706,272534,1.69,0.25,1.44
client0_net_copier,67536592590,1526893111,478168127,1048724984,835428,552213,2.26,0.71,1.55
client1,67536592590,8781266,1980721,6800545,2600,2600,0.01,0.0,0.01
client1_net_copier,67536592590,396960,107146,289814,104,70,0.0,0.0,0.0
timer_driver,67536592590,24365081,6872098,17492983,7597,6484,0.04,0.01,0.03

TEST 4: 100Mb/s
CORE 0 TOTAL,43906279981,9715614400,3175803054,6539811346,4731356,4042160,22.13,7.23,14.89
serial_driver,43906279981,34494,2983,31511,2,2,0.0,0.0,0.0
serial_virt_tx,43906279981,12946,3323,9623,2,2,0.0,0.0,0.0
ethernet_driver,43906279981,3120439976,1023987359,2096452617,1286518,1227572,7.11,2.33,4.77
net_virt_tx,43906279981,1367651684,496363842,871287842,494938,494819,3.11,1.13,1.98
net_virt_rx,43906279981,2025236941,912159760,1113077181,1256901,945642,4.61,2.08,2.54
client0,43906279981,1394044272,196274281,1197769991,314995,314813,3.18,0.45,2.73
client0_net_copier,43906279981,1783429980,540015843,1243414137,935842,626505,4.06,1.23,2.83
client1,43906279981,6388436,1469179,4919257,1723,1721,0.01,0.0,0.01
client1_net_copier,43906279981,198879,58038,140841,50,34,0.0,0.0,0.0
timer_driver,43906279981,18176792,5468446,12708346,5161,4247,0.04,0.01,0.03

TEST 5: 200Mb/s
CORE 0 TOTAL,32225763809,10941992168,3271485820,7670506348,4855765,4015265,33.95,10.15,23.8
serial_driver,32225763809,33720,3943,29777,3,3,0.0,0.0,0.0
serial_virt_tx,32225763809,13393,4072,9321,2,2,0.0,0.0,0.0
ethernet_driver,32225763809,3431476025,1021855736,2409620289,1288135,1203510,10.65,3.17,7.48
net_virt_tx,32225763809,1358551727,445353156,913198571,436354,436129,4.22,1.38,2.83
net_virt_rx,32225763809,2314113678,1020367119,1293746559,1413552,1028064,7.18,3.17,4.01
client0,32225763809,1708877284,197200147,1511677137,315019,314853,5.3,0.61,4.69
client0_net_copier,32225763809,2110190683,581459957,1528730726,1029978,669560,6.55,1.8,4.74
client1,32225763809,4774537,1064737,3709800,1290,1288,0.01,0.0,0.01
client1_net_copier,32225763809,246496,75649,170847,69,49,0.0,0.0,0.0
timer_driver,32225763809,13714625,4101304,9613321,4016,3223,0.04,0.01,0.03

TEST 6: 300Mb/s
CORE 0 TOTAL,28292452855,11202677236,2969778643,8232898593,4400234,3528053,39.6,10.5,29.1
serial_driver,28292452855,32552,2873,29679,2,2,0.0,0.0,0.0
serial_virt_tx,28292452855,12811,3488,9323,2,2,0.0,0.0,0.0
ethernet_driver,28292452855,3572247060,939291244,2632955816,1211488,1098737,12.63,3.32,9.31
net_virt_tx,28292452855,1236843738,360525018,876318720,348676,348482,4.37,1.27,3.1
net_virt_rx,28292452855,2272305656,967367398,1304938258,1348359,955376,8.03,3.42,4.61
client0,28292452855,1904455168,166869168,1737586000,263730,263567,6.73,0.59,6.14
client0_net_copier,28292452855,2200093445,531088330,1669005115,961798,605883,7.78,1.88,5.9
client1,28292452855,4167900,860540,3307360,1117,1113,0.01,0.0,0.01
client1_net_copier,28292452855,246809,76449,170360,70,50,0.0,0.0,0.0
timer_driver,28292452855,12272097,3694135,8577962,3608,2861,0.04,0.01,0.03

TEST 7: 400Mb/s
CORE 0 TOTAL,26289526863,11671215557,2752593209,8918622348,4071554,3100574,44.39,10.47,33.92
serial_driver,26289526863,32370,2841,29529,2,2,0.0,0.0,0.0
serial_virt_tx,26289526863,15246,3783,11463,2,2,0.0,0.0,0.0
ethernet_driver,26289526863,3737248794,868552534,2868696260,1157234,993655,14.22,3.3,10.91
net_virt_tx,26289526863,1156399361,288778350,867621011,279110,273350,4.4,1.1,3.3
net_virt_rx,26289526863,2271682025,946359924,1325322101,1331421,912026,8.64,3.6,5.04
client0,26289526863,2126614670,144970829,1981643841,223823,223700,8.09,0.55,7.54
client0_net_copier,26289526863,2363280398,499598703,1863681695,933440,564578,8.99,1.9,7.09
client1,26289526863,3887712,740444,3147268,1009,1003,0.01,0.0,0.01
client1_net_copier,26289526863,229544,69435,160109,64,46,0.0,0.0,0.0
timer_driver,26289526863,11825437,3516366,8309071,3500,2666,0.04,0.01,0.03

TEST 8: 500Mb/s
CORE 0 TOTAL,25086558240,11836481194,2285193311,9551287883,3337116,2483842,47.18,9.11,38.07
serial_driver,25086558240,32492,2855,29637,2,2,0.0,0.0,0.0
serial_virt_tx,25086558240,13723,4128,9595,2,2,0.0,0.0,0.0
ethernet_driver,25086558240,3941084027,801737161,3139346866,1068342,909610,15.71,3.2,12.51
net_virt_tx,25086558240,1097880667,209769687,888110980,205000,202477,4.38,0.84,3.54
net_virt_rx,25086558240,2060439229,783939579,1276499650,1092536,731285,8.21,3.12,5.09
client0,25086558240,2342656077,120487675,2222168402,177233,173570,9.34,0.48,8.86
client0_net_copier,25086558240,2378068778,364621389,2013447389,725680,399960,9.48,1.45,8.03
client1,25086558240,3657995,819673,2838322,944,939,0.01,0.0,0.01
client1_net_copier,25086558240,135473,43983,91490,39,28,0.0,0.0,0.0
timer_driver,25086558240,12512733,3767181,8745552,3416,2547,0.05,0.02,0.03

TEST 9: 600Mb/s
CORE 0 TOTAL,24288559541,12234582521,1926655416,10307927105,2852981,2082074,50.37,7.93,42.44
serial_driver,24288559541,32588,3033,29555,2,2,0.0,0.0,0.0
serial_virt_tx,24288559541,15274,3715,11559,2,2,0.0,0.0,0.0
ethernet_driver,24288559541,4105049924,690870943,3414178981,931337,787896,16.9,2.84,14.06
net_virt_tx,24288559541,1160643495,179037810,981605685,178388,165986,4.78,0.74,4.04
net_virt_rx,24288559541,1839739156,635683088,1204056068,908791,582999,7.57,2.62,4.96
client0,24288559541,2558297484,77265808,2481031676,109674,107537,10.53,0.32,10.21
client0_net_copier,24288559541,2553957772,338823753,2215134019,656479,370098,10.52,1.39,9.12
client1,24288559541,3640413,959522,2680891,871,871,0.01,0.0,0.01
client1_net_copier,24288559541,103229,33366,69863,31,23,0.0,0.0,0.0
timer_driver,24288559541,13103186,3974378,9128808,3138,2405,0.05,0.02,0.04

