Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,64,129,367,20.17,120,297974317434,306942802101,0.0292,2705989773,5256519313,3755176,3309989,10,10,244.48,264.48,200000,818.08,200000,34952790,30752689,10132722,27713915,1132391492,4281649,23544217,1534714,26282,13529,18.78,174.76,153.76,50.66,138.57,5661,117.72,0,306942861167,7962509086,0.47,0.06,0.41,0.38,0.14,0.24,1.07,0.34,0.72,0.42,0.23,0.19,0.23,0.1,0.13
20.0,20.000342,20.000342,1472,18,148,301,21.56,155,156537249064,165839336633,0.0561,2860437509,5568819308,3818899,3324374,10,10,122.24,142.24,200000,1636.15,200000,36275369,32054618,10403277,28809217,3662619333,25749951,24343747,829196,27844,14302,19.09,181.38,160.27,52.02,144.05,18313,121.72,0,165839396066,8429256817,0.92,0.12,0.81,0.75,0.28,0.47,2.09,0.66,1.43,0.85,0.47,0.38,0.43,0.18,0.25
50.0,50.000666,50.000666,1472,14,127,396,13.93,124,69653592151,81048594661,0.1406,3512292139,6841466444,4624054,4052407,10,10,48.9,68.9,200000,4090.37,200000,45792664,39977447,13027556,35856915,445339270,6463996,28060595,405242,34207,17561,23.12,228.96,199.89,65.14,179.28,2226,140.3,0,81048652144,10353758583,2.34,0.3,2.04,1.88,0.7,1.18,5.3,1.7,3.6,2.09,1.14,0.95,1.12,0.48,0.64
100.0,100.001624,100.000624,1472,26,207,608,102.73,145,40532109418,52685943287,0.2307,3489289565,7607657941,4704597,3951384,10,10,24.45,44.45,200000,8180.76,200000,43810941,42020098,12761773,35453271,2473474604,55649223,35925435,263429,38038,17446,23.52,219.05,210.1,63.81,177.27,12367,179.63,0,52686007801,11096947506,4.16,0.47,3.69,3.05,1.05,2.0,8.79,2.64,6.15,3.31,1.77,1.54,1.72,0.67,1.05
200.0,199.994385,199.999385,1472,93,384,866,205.73,356,23857667647,38668228852,0.383,4744035633,9450445236,6119357,5350484,10,10,12.22,32.22,200000,16360.8,200000,33829042,41658389,15260554,37258952,2691467286,83522797,40655393,193341,47252,23720,30.6,169.15,208.29,76.3,186.29,13457,203.28,0,38668437088,14194480869,6.77,0.53,6.24,4.07,1.14,2.92,16.44,5.07,11.37,7.32,4.88,2.43,2.08,0.63,1.45
300.0,300.005097,300.003597,1472,508,679,861,83.12,680,18881492142,33949473293,0.4438,4712142047,10028081470,6047904,5575771,10,10,8.15,28.15,200000,24542.3,200000,16744583,35984120,14132150,31686803,3744672397,133029467,35561889,169747,50140,23560,30.24,83.72,179.92,70.66,158.43,18723,177.81,0,33949532257,14740223517,8.36,0.17,8.19,3.81,0.53,3.28,19.72,5.94,13.79,9.56,6.9,2.66,1.93,0.34,1.59
400.0,400.003445,400.001445,1472,555,700,882,69.02,697,16430124405,31544665454,0.4791,3904893869,10896409605,4984539,4539294,10,10,6.11,26.11,200000,32722.79,200000,15510773,41038878,11977093,28427282,2484872283,95162273,37495135,157723,54482,19524,24.92,77.55,205.19,59.89,142.14,12424,187.48,0,31544721005,14801303474,10.92,0.17,10.75,4.88,0.55,4.33,19.76,5.23,14.53,8.96,6.06,2.91,2.35,0.36,1.99
500.0,500.002014,499.997014,1472,612,727,952,57.18,729,14481002244,30101713128,0.5189,3403198246,11911702667,4316760,3893715,10,10,4.89,24.89,200000,40903.31,200000,14444075,46531416,10513933,26632414,1693928474,68057735,39956119,150508,59558,17015,21.58,72.22,232.66,52.57,133.16,8469,199.78,0,30101768129,15314900913,13.54,0.18,13.36,5.94,0.56,5.38,20.0,4.71,15.29,8.63,5.46,3.17,2.73,0.38,2.35
600.0,600.006507,600.000507,1472,651,744,915,43.92,744,12876868418,29142482341,0.5581,2923117714,13035653397,3679025,3262552,10,10,4.07,24.07,200000,49084.3,200000,13655673,52787883,9175279,27161793,1228163893,51014876,42551573,145712,65178,14615,18.4,68.28,263.94,45.88,135.81,6140,212.76,0,29142536822,15958771111,16.24,0.18,16.06,7.09,0.58,6.51,20.18,4.09,16.09,8.16,4.76,3.4,3.05,0.4,2.65
700.0,700.005965,699.995465,1472,698,771,997,32.25,771,11596368844,28586703017,0.5943,2544382610,14119087004,3204999,2796769,10,10,3.49,23.49,200000,57264.89,200000,12958581,56924209,8044322,26277365,1013212230,43129102,45498952,142933,70595,12721,16.02,64.79,284.62,40.22,131.39,5066,227.49,0,28586760754,16663469614,18.68,0.18,18.5,8.2,0.58,7.62,20.28,3.59,16.68,7.74,4.11,3.64,3.34,0.41,2.93
800.0,799.859077,800.003033,1472,726,797,1080,20.78,796,9836689693,28070579657,0.6496,2173395052,15734000977,2727355,2324357,10,10,3.06,23.06,200000,65433.5,200000,12371061,62439937,6800005,25202988,442859648,19207551,48586997,140352,78670,10866,13.64,61.86,312.2,34.0,126.01,2214,242.93,0,28070646460,17907396029,21.27,0.18,21.09,10.79,0.61,10.19,20.62,3.06,17.56,7.43,3.46,3.98,3.63,0.42,3.21
