Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,73,131,273,20.47,129,298828102353,306934897794,0.0264,141486738089,291477805562,58884884,58094209,10,10,244.48,264.48,200000,818.08,200000,355751190,893550960,104939842,642876790,74413781633,281363608,270571671,1534674,1457389,707433,294.42,1778.76,4467.75,524.7,3214.38,372068,1352.86,0,53228411901058,432964543651,0.15,0.01,0.14,0.14,0.03,0.11,0.3,0.14,0.16,0.14,0.05,0.09,0.08,0.03,0.04
20.0,20.000342,20.000342,1472,69,140,244,17.83,150,157087699769,165625945579,0.0516,148671378349,333892343155,60104744,59283014,10,10,122.24,142.24,200000,1636.15,200000,372717576,930443397,108029232,672613956,221345178436,1556161636,272050195,828129,1669461,743356,300.52,1863.59,4652.22,540.15,3363.07,1106725,1360.25,0,24559260553494,482563721504,0.35,0.03,0.32,0.32,0.06,0.25,0.68,0.32,0.36,0.32,0.11,0.21,0.28,0.08,0.21
50.0,50.000655,50.000655,1472,66,132,527,34.26,135,71095055315,81047813867,0.1228,176135407244,392633592918,72815479,71530899,10,10,48.9,68.9,200000,4090.37,200000,420770867,1132479077,122843718,845354320,30623155040,444487920,336726148,405239,1963167,880677,364.08,2103.85,5662.4,614.22,4226.77,153115,1683.63,0,8866012554840,568769000162,1.08,0.1,0.98,0.98,0.21,0.77,2.43,1.02,1.41,1.04,0.4,0.64,0.88,0.25,0.63
100.0,100.001094,100.000594,1472,100,181,535,97.51,137,40783082718,52687920289,0.226,200279902934,472154656146,87312721,85150103,10,10,24.45,44.45,200000,8180.72,200000,578950960,1395036932,143799369,941064737,95940081704,2158492148,405164057,263439,2360773,1001399,436.56,2894.75,6975.18,719.0,4705.32,479700,2025.82,0,5663041787225,672434559080,2.47,0.18,2.29,1.75,0.39,1.36,4.27,1.78,2.49,1.77,0.69,1.08,1.61,0.49,1.12
200.0,199.99627,199.99927,1472,48,369,848,218.27,308,23848830565,38671844853,0.3833,321661642373,565720830390,123889248,119707478,10,10,12.22,32.22,200000,16360.95,200000,355545410,1210585201,122957954,897712977,77684355142,2410743716,388379207,193359,2828604,1608308,619.45,1777.73,6052.93,614.79,4488.56,388421,1941.9,0,3875973563161,887382472763,4.0,0.15,3.85,2.36,0.37,1.98,9.59,4.14,5.44,2.49,0.95,1.54,4.46,2.68,1.77
300.0,300.002278,300.002278,1472,505,684,887,85.2,680,18225586037,33948919836,0.4631,393402319360,597440582463,137377593,126951957,10,10,8.15,28.15,200000,24542.07,200000,100672596,939676165,86192693,654901506,90466981145,3213830286,269058405,169744,2987202,1967011,686.89,503.36,4698.38,430.96,3274.51,452334,1345.29,0,3544565900289,990842901823,4.77,0.04,4.73,2.23,0.16,2.08,12.13,4.76,7.37,0.89,0.25,0.64,7.92,5.89,2.03
400.0,400.00956,399.99956,1472,552,699,925,71.38,696,15720365054,31543297062,0.5016,333759917188,663309020183,119759681,109515045,10,10,6.11,26.11,200000,32723.3,200000,90329152,1116209175,73601669,626475057,2502137127,95823802,269062737,157716,3316545,1668799,598.8,451.65,5581.05,368.01,3132.38,12510,1345.31,0,3389856778513,997068937371,6.51,0.04,6.47,2.68,0.16,2.52,12.18,4.51,7.67,1.03,0.25,0.77,7.01,4.88,2.13
500.0,500.006287,499.993787,1472,581,728,984,58.82,732,13823349288,30095039141,0.5407,309518987397,679067883219,105924215,102057109,10,10,4.89,24.89,200000,40903.66,200000,88228486,1209215271,69370665,606217046,225814513266,9072667743,269050248,150475,3395339,1547594,529.62,441.14,6046.08,346.85,3031.09,1129072,1345.25,0,3301035737969,988586870616,7.48,0.04,7.43,3.06,0.16,2.89,11.39,4.33,7.06,1.12,0.21,0.91,6.9,4.63,2.27
600.0,600.006965,600.000965,1472,641,748,912,46.37,746,12269083034,29145916727,0.579,264243002231,801790903654,92558945,89145413,10,10,4.07,24.07,200000,49084.34,200000,87045383,1395824177,59192472,592990470,174255789897,7238153477,271782000,145729,4008954,1321215,462.79,435.23,6979.12,295.96,2964.95,871278,1358.91,0,2822961059192,1066033905885,10.59,0.05,10.54,4.92,0.19,4.73,13.13,3.83,9.3,1.45,0.24,1.21,7.68,5.05,2.63
700.0,700.009918,699.999418,1472,686,775,930,35.4,775,10875620618,28581165801,0.6195,222151385605,933299656063,87447945,84087424,10,10,3.49,23.49,200000,57265.21,200000,87060547,1493652836,56690569,588604468,155464392999,6617611909,274231666,142905,4666498,1110756,437.24,435.3,7468.26,283.45,2943.02,777321,1371.16,0,2772420432760,1155451041668,12.73,0.05,12.68,5.47,0.2,5.28,13.33,3.62,9.7,2.54,0.24,2.3,7.6,3.9,3.7
