Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,27,138,221,20.07,153,298135829563,306937880848,0.0287,2747602824,5128908745,3748894,3308235,10,10,244.48,264.48,200000,818.08,200000,33339740,30855013,9844282,27754985,1259347843,4761680,21119497,1534689,25644,13738,18.74,166.7,154.28,49.22,138.77,6296,105.6,0,306937938751,7876511569,0.47,0.06,0.41,0.39,0.15,0.24,1.02,0.34,0.68,0.43,0.24,0.19,0.22,0.09,0.13
20.0,20.000342,20.000342,1472,22,147,1966,37.7,153,156672047375,165614104511,0.054,2778364570,5323626139,3732177,3244507,10,10,122.24,142.24,200000,1636.15,200000,33089225,31310832,9933608,28124025,3753237882,26387043,21892907,828070,26618,13891,18.66,165.45,156.55,49.67,140.62,18766,109.46,0,165614165188,8101990709,0.9,0.11,0.79,0.74,0.27,0.47,1.98,0.65,1.33,0.83,0.46,0.37,0.41,0.17,0.24
50.0,50.000656,50.000656,1472,37,127,404,14.73,126,69900768836,81038071736,0.1374,3510490838,6643575359,4608944,4036533,10,10,48.9,68.9,200000,4090.37,200000,42809946,40060662,12630037,35775352,639368369,9280282,25412071,405190,33217,17552,23.04,214.05,200.3,63.15,178.88,3196,127.06,0,81038130543,10154066197,2.32,0.31,2.02,1.91,0.72,1.19,5.06,1.68,3.38,2.09,1.15,0.95,1.1,0.47,0.63
100.0,100.000218,100.000218,1472,31,193,489,94.76,140,40491742354,52690962351,0.2315,3552061783,7481109553,4823816,4166984,10,10,24.45,44.45,200000,8180.65,200000,43003831,43275089,13102099,36725546,2448979487,55097696,32540286,263454,37405,17760,24.12,215.02,216.38,65.51,183.63,12244,162.7,0,52691024397,11033171336,4.16,0.47,3.69,3.1,1.09,2.02,8.59,2.73,5.86,3.26,1.72,1.53,1.79,0.72,1.07
200.0,199.997519,199.998519,1472,98,386,855,204.21,371,23883281858,38668517891,0.3824,4855910204,9254788566,6369177,5575803,10,10,12.22,32.22,200000,16361.05,200000,31363021,41536165,15618463,38065964,2725133461,84568043,38802353,193342,46273,24279,31.85,156.82,207.68,78.09,190.33,13625,194.01,0,38668730483,14110698770,6.69,0.5,6.19,4.02,1.09,2.93,16.12,5.21,10.91,7.65,5.15,2.5,1.97,0.59,1.38
300.0,300.001447,300.001447,1472,489,675,863,82.76,675,18821131740,33945284002,0.4455,4933143558,9864201454,6344478,5872482,10,10,8.15,28.15,200000,24542.0,200000,15383415,35846240,14605711,32685637,3723519349,132277539,33409048,169726,49321,24665,31.72,76.92,179.23,73.03,163.43,18617,167.05,0,33945339612,14797345012,8.33,0.16,8.16,3.8,0.53,3.27,19.43,6.17,13.26,10.07,7.32,2.74,1.93,0.33,1.59
400.0,399.99531,399.99931,1472,532,690,1032,69.43,688,16176997686,31528087995,0.4869,4275623241,10769660570,5471818,5034077,10,10,6.11,26.11,200000,32722.13,200000,14190529,41311247,12944200,30501700,2336601998,89483593,35222029,157640,53848,21378,27.36,70.95,206.56,64.72,152.51,11683,176.11,0,31528141953,15045283811,10.9,0.17,10.73,4.86,0.54,4.32,19.8,5.71,14.09,9.79,6.77,3.02,2.33,0.35,1.97
500.0,500.008994,499.991494,1472,595,721,873,56.88,723,14338688880,30098954168,0.5236,3726980567,11730738157,4748336,4327118,10,10,4.89,24.89,200000,40903.88,200000,13427811,46862637,11427319,28431094,1627932279,65406355,37335164,150494,58653,18634,23.74,67.14,234.31,57.14,142.16,8139,186.68,0,30099021307,15457718724,13.52,0.17,13.34,5.95,0.56,5.39,19.74,5.15,14.58,9.4,6.1,3.3,2.7,0.37,2.33
600.0,600.005514,599.999514,1472,643,747,968,45.85,745,12634656262,29137354797,0.5664,3336552009,12862352204,4227413,3816466,10,10,4.07,24.07,200000,49084.22,200000,12856788,52690010,10344793,29183765,1094428419,45459824,39972194,145686,64311,16682,21.14,64.28,263.45,51.72,145.92,5472,199.86,0,29137416038,16198904213,16.2,0.17,16.03,7.07,0.58,6.49,20.09,4.71,15.38,9.15,5.58,3.57,3.04,0.39,2.65
700.0,700.013766,699.992766,1472,693,769,883,32.77,768,11385660715,28578998486,0.6016,2980357124,13889367735,3772902,3368726,10,10,3.49,23.49,200000,57265.52,200000,12207510,56845982,9211416,28570737,906936315,38605351,42786552,142894,69446,14901,18.86,61.04,284.23,46.06,142.85,4534,213.93,0,28579052512,16869724859,18.66,0.18,18.48,8.17,0.58,7.59,20.04,4.25,15.8,8.79,5.0,3.79,3.33,0.41,2.92
