Requ Thrput (Mb/s),Recv Thrput (Mb/s),Send Thrput (Mb/s),Packet Size (bytes),Min RTT (μs),Mean RTT (μs),Max RTT (μs),RTT stdev (μs),Med RTT (μs),Idle Cycles,Total Cycles,CPU Util (Fraction),Kernel Cycles,User Cycles,Kernel Entries,Schedules,Warm-up (s),Cool-down (s),Test Duration (s),Total Time (s),Packets Sent,Packet Rate (p/s),Total Packets,L1 I-cache misses,L1 D-cache misses,L1 I-TLB misses,L1 D-TLB misses,Instructions,Instructions per Second,Branch mispredictions,Cycles Per Packet,User cycles per packet,Kernel cycles per packet,Kernel entries per packet,L1 I-cache misses per packet,L1 D-cache misses per packet,L1 I-TLB misses per packet,L1 D-TLB misses per packet,instructions per packet,Branch mis-pred per packet,Bad Packets,Core Cycles,System Cycles,client0_CPU_Util,client0_Kernel_Util,client0_User_Util,client0_net_copier_CPU_Util,client0_net_copier_Kernel_Util,client0_net_copier_User_Util,ethernet_driver_CPU_Util,ethernet_driver_Kernel_Util,ethernet_driver_User_Util,net_virt_rx_CPU_Util,net_virt_rx_Kernel_Util,net_virt_rx_User_Util,net_virt_tx_CPU_Util,net_virt_tx_Kernel_Util,net_virt_tx_User_Util
10.0,10.000184,10.000184,1472,74,144,4137,28.09,151,298721306113,306937927561,0.0268,3012696470,4349775451,4156973,3699571,10,10,244.48,264.48,200000,818.08,200000,21211839,32375107,5956818,27172540,1092698016,4131566,10681766,1534689,21748,15063,20.78,106.06,161.88,29.78,135.86,5463,53.41,0,306937986671,7362471921,0.44,0.06,0.38,0.37,0.14,0.24,0.82,0.39,0.43,0.42,0.23,0.19,0.32,0.16,0.16
20.0,20.000344,20.000344,1472,9,132,835,20.83,136,156896730459,165625202185,0.0527,3257343443,4684076696,4342246,3864051,10,10,122.24,142.24,200000,1636.15,200000,22936696,34814286,6326500,29257491,3263446370,22943578,10850592,828126,23420,16286,21.71,114.68,174.07,31.63,146.29,16317,54.25,0,165625260242,7941420139,0.89,0.12,0.77,0.75,0.28,0.48,1.65,0.79,0.85,0.83,0.45,0.38,0.65,0.32,0.33
50.0,50.000664,50.000664,1472,39,131,249,12.81,137,70559285909,81040742293,0.1293,3968749993,5669254482,5183540,4611760,10,10,48.9,68.9,200000,4090.37,200000,27874970,42457371,7587056,35579575,332220389,4822101,12432398,405203,28346,19843,25.92,139.37,212.29,37.94,177.9,1661,62.16,0,81040797858,9638004475,2.19,0.29,1.9,1.88,0.69,1.19,4.11,1.99,2.13,2.05,1.12,0.93,1.63,0.8,0.83
100.0,100.000643,100.000643,1472,89,199,573,106.01,150,41004071850,52696207720,0.2219,4246655796,6583739837,5659840,4860115,10,10,24.45,44.45,200000,8180.68,200000,28516031,46360160,7910297,37775172,1890728851,42538146,17087984,263481,32918,21233,28.3,142.58,231.8,39.55,188.88,9453,85.44,0,52696263717,10830395633,3.94,0.44,3.5,3.14,1.07,2.07,7.19,3.33,3.86,3.48,1.87,1.61,2.77,1.34,1.43
200.0,199.995464,199.999464,1472,14,359,871,220.65,289,23719395030,38667418346,0.3866,6005669741,8373062005,8018732,7245804,10,10,12.22,32.22,200000,16360.89,200000,21496809,43867616,7206509,39433227,1215197088,37710608,17249759,193337,41865,30028,40.09,107.48,219.34,36.03,197.17,6075,86.25,0,38667638403,14378731746,6.42,0.39,6.03,4.18,1.18,3.0,14.6,6.68,7.93,4.55,2.44,2.11,7.39,4.83,2.55
300.0,300.001668,300.001668,1472,511,680,1007,85.28,685,18240735271,33946750328,0.4627,6333062660,9055556620,8522572,8064851,10,10,8.15,28.15,200000,24542.02,200000,8164314,33706851,5103608,32159676,1683136586,59793220,9828631,169733,45277,31665,42.61,40.82,168.53,25.52,160.8,8415,49.14,0,33946810263,15388619280,8.27,0.16,8.11,3.73,0.51,3.22,18.92,8.28,10.63,2.21,0.64,1.58,12.16,9.05,3.12
400.0,400.000524,399.998524,1472,548,705,893,72.37,699,15736371506,31538944884,0.501,5540636739,9963643865,7438389,7007689,10,10,6.11,26.11,200000,32722.56,200000,7677077,38953316,4494094,30212563,343128940,13140665,10098264,157694,49818,27703,37.19,38.39,194.77,22.47,151.06,1715,50.49,0,31539004453,15504280604,10.83,0.17,10.66,4.76,0.53,4.24,19.11,7.76,11.34,2.56,0.64,1.93,11.85,8.46,3.39
500.0,500.007481,499.997481,1472,592,724,897,58.22,726,13827932561,30101077131,0.5406,5010410022,10971937719,6708138,6295157,10,10,4.89,24.89,200000,40903.75,200000,7351127,44809273,4104832,29235451,3802343412,152768810,10376684,150505,54859,25052,33.54,36.76,224.05,20.52,146.18,19011,51.88,0,30101135289,15982347741,13.4,0.17,13.23,5.87,0.54,5.32,19.23,7.32,11.91,2.95,0.65,2.3,11.6,7.95,3.66
600.0,600.012048,600.000048,1472,627,745,978,45.72,744,12225131638,29141274263,0.5805,4516025531,12112328914,6025400,5623281,10,10,4.07,24.07,200000,49084.76,200000,7159182,51301247,3738640,30343087,3230039803,134168037,10659091,145706,60561,22580,30.13,35.8,256.51,18.69,151.72,16150,53.3,0,29141333798,16628354445,16.11,0.17,15.94,7.01,0.56,6.45,19.37,6.77,12.6,3.33,0.66,2.67,11.2,7.32,3.88
700.0,700.008514,700.001514,1472,681,766,993,33.41,765,10871601791,28581997527,0.6196,4148539717,13253739889,5536742,5140672,10,10,3.49,23.49,200000,57265.09,200000,7000088,55191776,3470715,29684732,2870239344,122176686,11092139,142909,66268,20742,27.68,35.0,275.96,17.35,148.42,14351,55.46,0,28582057794,17402279606,18.52,0.18,18.35,8.14,0.57,7.58,19.62,6.32,13.29,3.72,0.68,3.04,10.84,6.75,4.09
